cmt_img,nstep,colors
arsalidou_images_png/3n_1.png,3,"[(0, 255, 0, 255), (0, 255, 0, 255), (255, 255, 0, 255), (0, 0, 255, 255), (255, 0, 0, 255), (255, 255, 0, 255), (255, 165, 0, 255), (255, 0, 0, 255), (0, 255, 0, 255)]"
arsalidou_images_png/3n_2.png,3,"[(255, 255, 0, 255), (0, 255, 0, 255), (0, 255, 0, 255), (128, 0, 128, 255), (0, 255, 0, 255), (255, 0, 255, 255), (0, 0, 255, 255), (0, 255, 0, 255), (128, 0, 128, 255)]"
arsalidou_images_png/3n_3.png,3,"[(0, 255, 0, 255), (255, 255, 0, 255), (0, 0, 255, 255), (255, 165, 0, 255), (0, 0, 255, 255), (255, 0, 255, 255), (255, 0, 255, 255), (255, 255, 0, 255), (0, 255, 0, 255)]"
arsalidou_images_png/3n_4.png,3,"[(255, 165, 0, 255), (0, 0, 255, 255), (255, 0, 255, 255), (0, 0, 255, 255), (255, 255, 0, 255), (0, 0, 255, 255), (0, 0, 255, 255), (255, 255, 0, 255), (255, 165, 0, 255)]"
arsalidou_images_png/3n_5.png,3,"[(255, 0, 255, 255), (128, 0, 128, 255), (0, 255, 0, 255), (255, 165, 0, 255), (0, 0, 255, 255), (255, 0, 255, 255), (255, 165, 0, 255), (0, 0, 255, 255), (0, 255, 0, 255)]"
arsalidou_images_png/3n_6.png,3,"[(255, 165, 0, 255), (255, 165, 0, 255), (0, 255, 0, 255), (255, 0, 255, 255), (255, 0, 255, 255), (0, 255, 0, 255), (0, 0, 255, 255), (255, 0, 0, 255), (255, 0, 255, 255)]"
arsalidou_images_png/3n_7.png,3,"[(255, 0, 255, 255), (128, 0, 128, 255), (255, 0, 255, 255), (128, 0, 128, 255), (0, 255, 0, 255), (0, 0, 255, 255), (0, 255, 0, 255), (128, 0, 128, 255), (255, 0, 0, 255)]"
arsalidou_images_png/3n_8.png,3,"[(128, 0, 128, 255), (255, 0, 0, 255), (0, 255, 0, 255), (0, 0, 255, 255), (0, 255, 0, 255), (128, 0, 128, 255), (0, 255, 0, 255), (128, 0, 128, 255), (255, 255, 0, 255)]"
arsalidou_images_png/3n_9.png,3,"[(255, 165, 0, 255), (255, 165, 0, 255), (0, 255, 0, 255), (255, 0, 255, 255), (128, 0, 128, 255), (0, 255, 0, 255), (0, 255, 0, 255), (0, 0, 255, 255), (255, 0, 255, 255)]"
arsalidou_images_png/3n_10.png,3,"[(255, 165, 0, 255), (128, 0, 128, 255), (128, 0, 128, 255), (128, 0, 128, 255), (255, 0, 0, 255), (0, 255, 0, 255), (255, 165, 0, 255), (0, 255, 0, 255), (255, 0, 0, 255)]"
