participant_id	Question 1	Question 2	Question 3	Question 4	Question 5	Question 6	Question 7	Question 8	Question 9	Question 10	Question 11	Question 12	Question 13	Question 14	Question 15	Question 16	Question 17	Question 18	Question 19	Question 20	Question 21	Question 22	Question 23	Question 24	Question 25	Question 26	Question 27	Question 28	Question 29	Question 30	Question 31	Question 32	Question 33	Question 34	Question 35	Question 36	Question 37	Question 38	Question 39	Question 40	Question 41	Question 42	Question 43	Question 44	Question 45	Question 46	Question 47	Question 48	Question 49	Question 50	Question 51	Question 52	Question 53	Question 54	Question 55	Question 56	Question 57	Question 58	Question 59	Question 60	Question 61	Question 62	Question 63	Question 64	Question 65	Question 66	Question 67
sub-001	3	4	3	2	2	4	3	4	5	5	2	3	3	2	2	2	4	3	3	2	5	4	4	3	3	1	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
sub-002	5	4	5	3	5	5	4	4	3	3	2	2	3	5	2	2	2	5	3	3	4	3	5	2	5	3	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
sub-003	2	2	2	3	2	2	3	2	2	2	3	2	2	2	3	3	4	4	2	4	2	3	3	1	2	4	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
sub-004	5	5	5	5	4	5	5	4	4	4	3	3	5	2	4	5	5	5	4	5	4	4	5	4	5	4	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
sub-005	4	4	5	1	4	2	5	4	4	3	3	2	3	4	3	4	1	4	1	4	2	4	4	2	4	3	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
sub-006	4	3	4	4	4	4	4	4	3	4	4	3	4	4	4	4	3	3	3	4	4	3	4	3	4	4	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
sub-007	4	2	4	5	4	5	4	5	3	3	4	4	4	3	2	3	2	4	3	5	3	4	5	3	1	4	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
sub-008	4	3	5	4	5	4	4	5	3	3	3	4	5	5	4	2	2	3	2	2	4	5	4	5	4	3	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
sub-009	4	3	4	4	4	5	4	4	4	3	4	3	4	4	4	3	4	4	3	4	3	3	4	4	4	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
sub-010	4	4	5	5	4	5	5	4	5	4	4	4	5	5	4	4	3	5	3	4	3	4	4	1	5	4	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
