sequence	training_session.thisRepN	training_session.thisTrialN	training_session.thisN	training_session.thisIndex	training_2n.thisRepN	training_2n.thisTrialN	training_2n.thisN	training_2n.thisIndex	training_3n.thisRepN	training_3n.thisTrialN	training_3n.thisN	training_3n.thisIndex	training_4n.thisRepN	training_4n.thisTrialN	training_4n.thisN	training_4n.thisIndex	allrep_2nback.thisRepN	allrep_2nback.thisTrialN	allrep_2nback.thisN	allrep_2nback.thisIndex	trials_2nback.thisRepN	trials_2nback.thisTrialN	trials_2nback.thisN	trials_2nback.thisIndex	allrep_3nback.thisRepN	allrep_3nback.thisTrialN	allrep_3nback.thisN	allrep_3nback.thisIndex	trials_3nback.thisRepN	trials_3nback.thisTrialN	trials_3nback.thisN	trials_3nback.thisIndex	allrep_4nback.thisRepN	allrep_4nback.thisTrialN	allrep_4nback.thisN	allrep_4nback.thisIndex	trials_4nback.thisRepN	trials_4nback.thisTrialN	trials_4nback.thisN	trials_4nback.thisIndex	buffer02_txt.started	test_griddot_resp2.started	test_griddot_resp2.keys	test_griddot_resp2.rt	buffer23_txt.started	test_griddot_resp3.started	test_griddot_resp3.keys	test_griddot_resp3.rt	buffer34_txt.started	test_griddot_resp4.started	test_griddot_resp4.keys	test_griddot_resp4.rt	confirm_resp.started	confirm_resp.keys	confirm_resp.rt	instr_text_2.started	buffer02_txt.stopped	griddot_resp2.started	griddot_resp2.keys	griddot_resp2.rt	buffer23_txt.stopped	griddot_resp3.started	griddot_resp3.keys	griddot_resp3.rt	buffer34_txt.stopped	griddot_resp4.started	griddot_resp4.keys	griddot_resp4.rt	participant	session	date	expName	psychopyVersion	frameRate	...76
[(1, 2), (0, 1), (1, 1), (1, 1), (1, 1), (1, 2), (1, 0), (1, 2)]	0	0	0	0	0	0	0	39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	265.8309505999787	269.9803088000044	['left', 'left', 'right', 'left']	[5.099121799925342, 8.33240489999298, 11.734653699910268, 13.092393399914727]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	zaa	001	2026-02-10_11h54.56.414	SS	2023.1.0	60.017633175155154	NA
[(2, 2), (1, 2), (2, 2), (0, 1), (2, 2), (2, 1), (0, 2), (1, 1)]	0	0	0	0	0	1	1	129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	286.8818155999761	['right', 'left', 'left', 'left']	[6.462078599957749, 7.5956146999960765, 10.89166349999141, 12.934813299914822]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	zaa	001	2026-02-10_11h54.56.414	SS	2023.1.0	60.017633175155154	NA
[(1, 2), (0, 1), (2, 0), (0, 1), (2, 0), (1, 0), (2, 2), (2, 1)]	0	0	0	0	0	2	2	664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	303.87976609996986	['left', 'right', 'left', 'left', 'left', 'left']	[4.848024099948816, 8.030861399951391, 9.245349999982864, 10.929506700020283, 13.163058600039221, 15.071776999975555]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	zaa	001	2026-02-10_11h54.56.414	SS	2023.1.0	60.017633175155154	NA
[(2, 0), (2, 0), (1, 0), (1, 2), (2, 0), (1, 2), (2, 0), (2, 0), (1, 1)]	0	0	0	0	NA	NA	NA	NA	0	0	0	105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	320.8233098000055	324.8894259999506	['left', 'right', 'left', 'right', 'right', 'left']	[6.811780699994415, 9.176120799966156, 12.373174299951643, 13.356684200000018, 15.054569000029005, 17.128311899956316]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	zaa	001	2026-02-10_11h54.56.414	SS	2023.1.0	60.017633175155154	NA
[(1, 2), (2, 0), (2, 0), (0, 1), (1, 2), (1, 0), (0, 1), (0, 1), (1, 0)]	0	0	0	0	NA	NA	NA	NA	0	1	1	307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	343.9032966999803	['left', 'right', 'left', 'right', 'right']	[6.928164599929005, 9.802424199995585, 11.261525599984452, 13.090921299997717, 15.00201689999085]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	zaa	001	2026-02-10_11h54.56.414	SS	2023.1.0	60.017633175155154	NA
[(0, 2), (2, 1), (1, 0), (0, 2), (0, 2), (2, 2), (1, 1), (0, 2), (0, 1)]	0	0	0	0	NA	NA	NA	NA	0	2	2	226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	362.88406489999034	['left', 'left', 'right', 'left', 'right', 'left']	[7.574604899971746, 9.882994799991138, 11.090111099998467, 13.355262099998072, 15.163366699940525, 17.150707299937494]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	zaa	001	2026-02-10_11h54.56.414	SS	2023.1.0	60.017633175155154	NA
[(1, 1), (1, 0), (2, 1), (2, 1), (1, 1), (1, 0), (1, 1), (2, 2), (2, 1), (1, 0)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	250	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	381.8358065999346	385.89764380001	['right', 'right', 'left', 'left', 'right']	[9.703514000051655, 11.882665600045584, 13.083588600042276, 14.939741100068204, 17.43493860005401]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	zaa	001	2026-02-10_11h54.56.414	SS	2023.1.0	60.017633175155154	NA
[(2, 0), (2, 1), (2, 2), (2, 0), (2, 0), (1, 2), (0, 1), (0, 1), (0, 2), (1, 2)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	406.8819734000135	['right', 'left', 'left', 'left', 'left', 'right']	[9.090919199981727, 12.132957299938425, 13.47250549995806, 14.91758059989661, 17.725775499944575, 19.872006699908525]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	zaa	001	2026-02-10_11h54.56.414	SS	2023.1.0	60.017633175155154	NA
[(0, 1), (1, 0), (0, 2), (0, 1), (2, 0), (0, 1), (0, 0), (2, 2), (2, 0), (0, 1)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	2	2	406	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	427.891618499998	['left', 'right', 'left', 'right', 'right']	[9.596330400090665, 11.72650440002326, 13.37578800006304, 15.602920600096695, 17.73007780010812]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	zaa	001	2026-02-10_11h54.56.414	SS	2023.1.0	60.017633175155154	NA
NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	447.82212859997526	y	42.68667059997097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	zaa	001	2026-02-10_11h54.56.414	SS	2023.1.0	60.017633175155154	NA
