training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	arsal_train.thisRepN	arsal_train.thisTrialN	arsal_train.thisN	arsal_train.thisIndex	arsal_s2.thisRepN	arsal_s2.thisTrialN	arsal_s2.thisN	arsal_s2.thisIndex	arsal_s3.thisRepN	arsal_s3.thisTrialN	arsal_s3.thisN	arsal_s3.thisIndex	arsal_s4.thisRepN	arsal_s4.thisTrialN	arsal_s4.thisN	arsal_s4.thisIndex	blank.started	matrix_resp.started	sequence	repeat_idx	matrix_resp.keys	matrix_resp.rt	trainconf.keys	trainconf.rt	blank.stopped	matrix_resp_2.started	matrix_resp_2.keys	matrix_resp_2.rt	matrix_resp_3.started	matrix_resp_3.keys	matrix_resp_3.rt	byebye_text.started	participant	session	date	expName	psychopyVersion	frameRate	...43
0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	157.32975590007845	157.87965100002475	[[(1, 1, -1), (1, 1, -1), (1, -1, 1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, -1, 1), (-1, -1, 1), (1, 1, -1)], [(1, 1, -1), (1, 1, -1), (1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, -1, 1), (1, 1, -1), (-1, 1, -1), (1, 1, -1)], [(1, -1, 1), (1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, 1, -1), (1, -1, 1), (1, -1, 1), (1, 1, -1), (1, -1, 1)], [(1, 1, -1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1)], [(1, -1, -1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (1, -0.2, -1)], [(-1, -1, 1), (-1, -1, 1), (1, -1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1)], [(-1, -1, 1), (1, -1, -1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, 1), (-1, 1, -1), (1, -1, 1), (-1, 1, -1)], [(1, -1, -1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (1, -0.2, -1)]]	4	['right', 'right', 'left', 'left', 'right', 'left', 'left']	[5.8238403998548165, 9.02786179992836, 10.666076199850067, 14.66909069987014, 16.849167799926363, 20.26440229988657, 23.2676988998428]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cio	001	2026-02-13_12h58.17.359	CMT	2023.1.0	59.94521006555795	NA
0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	181.82753920007963	NA	NA	NA	NA	NA	['y']	[11.796350599848665]	NA	NA	NA	NA	NA	NA	NA	NA	cio	001	2026-02-13_12h58.17.359	CMT	2023.1.0	59.94521006555795	NA
NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	220.5210495000938	221.0542351000477	[[(-1, -1, 1), (-1, -1, 1), (1, -1, -1), (1, -1, -1), (1, -0.2, -1), (1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1)], [(-1, 1, -1), (1, 1, -1), (1, -1, -1), (-1, 1, -1), (-1, -1, 1), (-1, -1, 1), (-1, 1, -1), (1, -1, -1), (1, -1, -1)], [(1, -1, -1), (1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (1, -1, -1), (1, -1, -1)], [(-1, 1, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, -1, 1), (-1, 1, -1), (-1, -1, 1), (1, -1, 1)], [(1, -1, 1), (1, -1, 1), (1, 1, -1), (1, 1, -1), (-1, 1, -1), (1, -1, 1), (1, 1, -1), (-1, -1, 1), (-1, 1, -1)], [(1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, -1, 1), (-1, 1, -1), (-1, -1, 1), (-1, -1, 1), (-1, -1, 1), (1, -1, 1)], [(1, 1, -1), (1, -1, -1), (1, 1, -1), (-1, 1, -1), (-1, -1, 1), (-1, -1, 1), (1, 1, -1), (1, -1, -1), (1, -1, -1)], [(1, -1, 1), (1, -1, 1), (1, 1, -1), (1, 1, -1), (-1, 1, -1), (1, -1, 1), (1, 1, -1), (-1, -1, 1), (-1, 1, -1)]]	4	['left', 'left', 'left', 'left', 'right', 'left', 'left']	[5.853294399916194, 8.903457399923354, 10.33269129996188, 14.722681399900466, 16.783317199908197, 20.16194459993858, 23.544900299981236]	NA	NA	221.0542351000477	NA	NA	NA	NA	NA	NA	NA	cio	001	2026-02-13_12h58.17.359	CMT	2023.1.0	59.94521006555795	NA
NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	245.0509171000449	245.56759870005772	[[(-1, 1, -1), (1, 1, -1), (1, -0.2, -1), (1, 1, -1), (1, -0.2, -1), (1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, 1, -1)], [(-1, -1, 1), (1, -1, -1), (1, 1, -1), (1, -1, -1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, 1, -1)], [(1, -1, -1), (-1, 1, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, -1), (1, 1, -1), (-1, -1, 1), (1, 1, -1), (1, 1, -1)], [(1, -1, -1), (-1, -1, 1), (-1, -1, 1), (-1, 1, -1), (1, -0.2, -1), (1, -1, -1), (-1, -1, 1), (-1, 1, -1), (1, -0.2, -1)], [(-1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, 1), (1, -1, -1), (1, -1, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1)], [(1, 1, -1), (1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, -1, 1), (1, 1, -1), (1, -1, 1), (-1, 1, -1), (1, 1, -1)], [(1, -0.2, -1), (-1, -1, 1), (1, 1, -1), (1, 1, -1), (-1, 1, -1), (1, -0.2, -1), (1, 1, -1), (1, 1, -1), (-1, -1, 1)], [(-1, -1, 1), (1, -1, -1), (1, 1, -1), (1, -1, -1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, 1, -1)]]	1	['left', 'right', 'left', 'left', 'right', 'left', 'left']	[6.231147299869917, 7.542817999841645, 10.108520299894735, 13.397142699919641, 17.27069249993656, 20.320184699841775, 23.051173199899495]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cio	001	2026-02-13_12h58.17.359	CMT	2023.1.0	59.94521006555795	NA
NA	NA	NA	NA	NA	NA	NA	NA	2	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	269.5307597001083	270.06409290002193	[[(-1, -1, 1), (1, 1, -1), (1, -0.2, -1), (-1, -1, 1), (1, 1, -1), (1, -0.2, -1), (1, 1, -1), (-1, 1, -1), (1, -0.2, -1)], [(1, 1, -1), (1, 1, -1), (1, 1, -1), (-1, 1, -1), (-1, -1, 1), (1, 1, -1), (1, 1, -1), (1, -1, 1), (-1, -1, 1)], [(1, -1, 1), (1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, -0.2, -1), (1, -1, 1), (-1, 1, -1), (-1, -1, 1)], [(1, -1, 1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (1, -1, 1), (1, -1, -1), (-1, -1, 1), (-1, 1, -1)], [(1, -0.2, -1), (-1, 1, -1), (1, -0.2, -1), (1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, 1), (1, -0.2, -1), (1, -0.2, -1)], [(-1, 1, -1), (1, 1, -1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1)], [(-1, -1, 1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, -0.2, -1), (1, -1, -1)], [(1, -1, 1), (1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, -0.2, -1), (1, -1, 1), (-1, 1, -1), (-1, -1, 1)]]	2	['left', 'left', 'left', 'left', 'left', 'left']	[4.792842499911785, 7.921847599907778, 10.235051599913277, 13.734647999866866, 17.349824599921703, 20.002777599846013]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cio	001	2026-02-13_12h58.17.359	CMT	2023.1.0	59.94521006555795	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	294.04406610003207	NA	[[(-1, -1, 1), (-1, -1, 1), (1, -1, 1), (-1, 1, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, 1), (-1, 1, -1), (1, -1, -1)], [(-1, 1, -1), (-1, 1, -1), (1, 0.5, -1), (1, 0.5, -1), (1, 1, -1), (1, 0.5, -1), (-1, 1, -1), (1, 0.5, -1), (1, -1, 1)], [(1, 0.5, -1), (-1, -1, 1), (-1, 1, -1), (-1, 1, -1), (1, 0.5, -1), (1, 0.5, -1), (-1, 1, -1), (1, 0.5, -1), (1, 0.5, -1)], [(1, 0.5, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, 1, -1), (1, 0.5, -1), (1, -1, 1), (-1, 1, -1)], [(1, -1, -1), (1, 1, -1), (-1, 1, -1), (-1, 1, -1), (1, 0.5, -1), (1, -1, -1), (1, 0.5, -1), (1, 0.5, -1), (1, 0.5, -1)], [(1, 1, -1), (1, -1, 1), (-1, -1, 1), (1, -1, 1), (1, 0.5, -1), (-1, 1, -1), (1, 0.5, -1), (1, 0.5, -1), (-1, -1, 1)], [(1, -1, -1), (1, -1, 1), (1, -1, -1), (1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, 1), (-1, 1, -1), (1, 1, -1)], [(-1, 1, -1), (-1, 1, -1), (1, 0.5, -1), (1, 0.5, -1), (1, 1, -1), (1, 0.5, -1), (-1, 1, -1), (1, 0.5, -1), (1, -1, 1)]]	1	NA	NA	NA	NA	NA	294.560813200078	['left', 'left', 'left', 'left', 'left', 'left', 'left']	[4.457841399940662, 7.516021499875933, 11.642947299871594, 14.728397599887103, 17.839145899866708, 19.612812999868765, 23.747348699951544]	NA	NA	NA	NA	cio	001	2026-02-13_12h58.17.359	CMT	2023.1.0	59.94521006555795	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	318.52398330008145	NA	[[(-1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (-1, -1, 1), (1, 1, -1), (1, 1, -1), (-1, -1, 1)], [(-1, -1, 1), (1, 0.5, -1), (1, -1, -1), (1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, -1), (1, -1, -1), (-1, 1, -1)], [(-1, 1, -1), (1, -1, 1), (-1, -1, 1), (1, -1, -1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, -1), (1, -1, -1)], [(1, -1, -1), (-1, 1, -1), (1, -1, -1), (-1, -1, 1), (-1, -1, 1), (-1, 1, -1), (1, -1, 1), (-1, -1, 1), (-1, 1, -1)], [(1, -1, -1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (-1, 1, -1), (1, -1, 1), (-1, 1, -1), (1, 1, -1), (1, 1, -1)], [(1, 1, -1), (-1, 1, -1), (-1, 1, -1), (1, 0.5, -1), (1, 0.5, -1), (-1, 1, -1), (1, 1, -1), (-1, 1, -1), (1, 0.5, -1)], [(-1, -1, 1), (-1, 1, -1), (1, 0.5, -1), (1, -1, 1), (1, -1, 1), (1, 0.5, -1), (1, -1, 1), (-1, 1, -1), (-1, 1, -1)], [(-1, 1, -1), (1, -1, 1), (-1, -1, 1), (1, -1, -1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, -1), (1, -1, -1)]]	2	NA	NA	NA	NA	NA	319.0573480000021	['left', 'left', 'right', 'left', 'left', 'right', 'left']	[5.6725088998209685, 8.683510699891485, 11.38606559985783, 14.705676599871367, 16.62535899982322, 19.7877188998973, 22.287387299817055]	NA	NA	NA	NA	cio	001	2026-02-13_12h58.17.359	CMT	2023.1.0	59.94521006555795	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	2	0	NA	NA	NA	NA	343.03730720002204	NA	[[(-1, -1, 1), (1, 1, -1), (1, -1, 1), (1, 0.5, -1), (1, -1, 1), (1, 0.5, -1), (1, -1, 1), (1, 0.5, -1), (1, 1, -1)], [(-1, -1, 1), (1, 1, -1), (1, -1, -1), (1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, 1, -1), (-1, 1, -1)], [(-1, 1, -1), (1, -1, -1), (1, 0.5, -1), (1, 0.5, -1), (1, 0.5, -1), (1, -1, 1), (1, -1, -1), (1, -1, -1), (1, -1, -1)], [(-1, -1, 1), (1, -1, 1), (1, -1, -1), (-1, 1, -1), (-1, -1, 1), (1, 0.5, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1)], [(1, -1, -1), (-1, 1, -1), (1, 0.5, -1), (-1, 1, -1), (1, 0.5, -1), (1, 0.5, -1), (-1, -1, 1), (1, -1, -1), (1, 1, -1)], [(-1, -1, 1), (1, -1, -1), (-1, -1, 1), (1, 0.5, -1), (1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, 0.5, -1), (-1, 1, -1)], [(1, -1, 1), (1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, 0.5, -1), (1, -1, 1), (1, 0.5, -1), (1, -1, 1), (1, 0.5, -1)], [(-1, 1, -1), (1, -1, -1), (1, 0.5, -1), (1, 0.5, -1), (1, 0.5, -1), (1, -1, 1), (1, -1, -1), (1, -1, -1), (1, -1, -1)]]	2	NA	NA	NA	NA	NA	343.57063680002466	['left', 'right', 'right', 'left', 'right', 'left', 'left']	[4.8651240998879075, 7.515316699864343, 11.495852899854071, 14.364313699887134, 17.075624699820764, 19.22857079980895, 23.426582099869847]	NA	NA	NA	NA	cio	001	2026-02-13_12h58.17.359	CMT	2023.1.0	59.94521006555795	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	367.5338476001052	NA	[[(-1, -1, 1), (-1, -1, 1), (1, 0.5, -1), (-1, 1, -1), (-1, -1, 1), (1, -1, 1), (1, -1, -1), (1, 0.5, -1), (-1, 1, -1)], [(1, 0.5, -1), (1, -1, 1), (1, 1, -1), (1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, 0.5, -1), (1, 0.5, -1), (-1, 1, -1)], [(1, 1, -1), (1, -1, 1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, 1), (1, 1, -1), (1, -1, 1)], [(1, -1, 1), (-1, -1, 1), (1, 0.5, -1), (-1, 1, -1), (1, -1, 1), (1, -1, 1), (1, 0.5, -1), (-1, 1, -1), (1, 0.5, -1)], [(1, -1, -1), (1, 1, -1), (-1, 1, -1), (-1, 1, -1), (1, -1, -1), (1, 0.5, -1), (-1, 1, -1), (1, 1, -1), (1, -1, 1)], [(1, 0.5, -1), (1, -1, -1), (-1, -1, 1), (1, 0.5, -1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (-1, 1, -1)], [(-1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (-1, 1, -1), (1, -1, 1), (1, 1, -1), (1, 1, -1)], [(1, 0.5, -1), (1, -1, 1), (1, 1, -1), (1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, 0.5, -1), (1, 0.5, -1), (-1, 1, -1)]]	1	NA	NA	NA	NA	NA	NA	NA	NA	368.06719700002577	['right', 'right', 'left', 'left', 'left', 'left', 'right']	[5.2429425998125225, 8.80773369979579, 10.396743499906734, 13.804968899814412, 17.459822099888697, 21.484956099884585, 22.676442799856886]	NA	cio	001	2026-02-13_12h58.17.359	CMT	2023.1.0	59.94521006555795	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	392.03048050007783	NA	[[(1, 0.5, -1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (1, 1, -1), (-1, -1, 1), (-1, -1, 1), (1, -1, 1), (1, -1, -1)], [(1, -1, 1), (1, -1, -1), (1, 0.5, -1), (-1, 1, -1), (-1, -1, 1), (1, 0.5, -1), (1, -1, -1), (1, -1, -1), (1, -1, 1)], [(1, -1, 1), (-1, -1, 1), (-1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, 0.5, -1), (1, 0.5, -1), (-1, -1, 1), (1, -1, 1)], [(-1, -1, 1), (1, 0.5, -1), (1, -1, 1), (1, 0.5, -1), (1, -1, -1), (1, 0.5, -1), (1, 1, -1), (1, -1, 1), (1, -1, -1)], [(1, 1, -1), (1, -1, 1), (1, 1, -1), (1, 0.5, -1), (-1, -1, 1), (1, 1, -1), (1, 1, -1), (1, -1, -1), (1, 1, -1)], [(1, -1, 1), (1, -1, -1), (1, 1, -1), (1, -1, -1), (1, -1, 1), (1, 1, -1), (-1, -1, 1), (1, -1, 1), (1, -1, -1)], [(1, -1, 1), (-1, -1, 1), (-1, -1, 1), (1, -1, 1), (1, 0.5, -1), (1, -1, -1), (1, -1, 1), (1, -1, -1), (-1, 1, -1)], [(1, -1, 1), (1, -1, -1), (1, 0.5, -1), (-1, 1, -1), (-1, -1, 1), (1, 0.5, -1), (1, -1, -1), (1, -1, -1), (1, -1, 1)]]	1	NA	NA	NA	NA	NA	NA	NA	NA	392.56381140009034	['right', 'left', 'left', 'right', 'right', 'right']	[4.904034899896942, 8.714094999944791, 11.809456599876285, 13.615569899906404, 17.3659059999045, 19.873184599913657]	NA	cio	001	2026-02-13_12h58.17.359	CMT	2023.1.0	59.94521006555795	NA
