imagefile	stimfile	corrAns	MRdir	angle	training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	mentalrot_trials.thisRepN	mentalrot_trials.thisTrialN	mentalrot_trials.thisN	mentalrot_trials.thisIndex	blank.started	mr_answ_2.started	mr_answ_2.keys	mr_answ_2.corr	mr_answ_2.rt	blank.stopped	mr_answ.started	mr_answ.keys	mr_answ.corr	mr_answ.rt	byebye_text.started	participant	session	date	expName	psychopyVersion	frameRate	...31
mr_images/1_b.png	mr_images/1_b_z_225.png	left	ccw	135	0	0	0	23	NA	NA	NA	NA	112.81596389994957	113.31588379992172	None	0	NA	NA	NA	NA	NA	NA	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/9_a.png	mr_images/9_a_z_135.png	left	cw	135	0	1	1	201	NA	NA	NA	NA	118.2153132999083	118.79825909994544	left	1	3.685751600074582	NA	NA	NA	NA	NA	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/1_b.png	mr_images/1_a_z_225.png	right	ccw	135	0	2	2	22	NA	NA	NA	NA	122.51470749999862	123.06954519997817	left	0	3.6232151999138296	123.06954519997817	NA	NA	NA	NA	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/12_b.png	mr_images/12_a_z_90.png	right	cw	90	0	3	3	64	NA	NA	NA	NA	126.71833439997864	127.31404129997829	left	0	4.535012700012885	127.31404129997829	NA	NA	NA	NA	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/5_b.png	mr_images/5_a_z_45.png	right	cw	45	0	4	4	132	NA	NA	NA	NA	131.87999379995745	132.46327859989833	right	1	2.513229800038971	132.46327859989833	NA	NA	NA	NA	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/5_b.png	mr_images/5_b_z_45.png	left	cw	45	NA	NA	NA	NA	0	0	0	133	161.8758066999726	NA	NA	NA	NA	NA	162.3758799999487	right	0	3.7401032999623567	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/6_a.png	mr_images/6_a_z_90.png	left	cw	90	NA	NA	NA	NA	0	1	1	149	166.1418740999652	NA	NA	NA	NA	166.72517269989476	166.72517269989476	left	1	4.096321900025941	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/11_b.png	mr_images/11_b_z_45.png	left	cw	45	NA	NA	NA	NA	0	2	2	37	170.84122849989217	NA	NA	NA	NA	171.42878129996825	171.42878129996825	right	0	3.403574100113474	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/7_a.png	mr_images/7_a_z_315.png	left	ccw	45	NA	NA	NA	NA	0	3	3	171	174.86169789999258	NA	NA	NA	NA	175.4406519999029	175.4406519999029	right	0	3.030504700029269	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/9_a.png	mr_images/9_b_z_135.png	right	cw	135	NA	NA	NA	NA	0	4	4	200	178.49034079990815	NA	NA	NA	NA	179.06127089995425	179.06127089995425	left	0	3.865972499945201	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/9_b.png	mr_images/9_a_z_135.png	right	cw	135	NA	NA	NA	NA	0	5	5	212	182.9438190999208	NA	NA	NA	NA	183.50613819994032	183.50613819994032	right	1	2.6416111999424174	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/11_a.png	mr_images/11_b_z_135.png	right	cw	135	NA	NA	NA	NA	0	6	6	32	186.17245199996975	NA	NA	NA	NA	186.75565179996192	186.75565179996192	left	0	2.843634400051087	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/6_b.png	mr_images/6_b_z_90.png	left	cw	90	NA	NA	NA	NA	0	7	7	161	189.62200229999144	NA	NA	NA	NA	190.17175009998027	190.17175009998027	right	0	3.4905225000111386	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/6_b.png	mr_images/6_b_z_45.png	left	cw	45	NA	NA	NA	NA	0	8	8	157	193.68821649998424	NA	NA	NA	NA	194.2436497999588	194.2436497999588	right	0	3.424540500040166	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/4_a.png	mr_images/4_a_z_270.png	left	ccw	90	NA	NA	NA	NA	0	9	9	103	197.69179369998164	NA	NA	NA	NA	198.270508699934	198.270508699934	right	0	2.845196400070563	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/6_b.png	mr_images/6_b_z_135.png	left	cw	135	NA	NA	NA	NA	0	10	10	165	201.13695219997317	NA	NA	NA	NA	201.6866687999573	201.6866687999573	right	0	3.3696545000420883	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/1_a.png	mr_images/1_a_z_225.png	left	ccw	135	NA	NA	NA	NA	0	11	11	11	205.08669929997995	NA	NA	NA	NA	205.6363696999615	205.6363696999615	left	1	3.388793100020848	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/12_b.png	mr_images/12_b_z_135.png	left	cw	135	NA	NA	NA	NA	0	12	12	69	209.0525055999169	NA	NA	NA	NA	209.63598859997	209.63598859997	right	0	4.775237999972887	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/3_a.png	mr_images/3_a_z_90.png	left	cw	90	NA	NA	NA	NA	0	13	13	77	214.43531829991844	NA	NA	NA	NA	215.01826259994417	215.01826259994417	right	0	4.607564999954775	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/7_b.png	mr_images/7_b_z_135.png	left	cw	135	NA	NA	NA	NA	0	14	14	189	219.65125439991243	NA	NA	NA	NA	220.21852259989828	220.21852259989828	left	1	3.676914799958467	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/5_b.png	mr_images/5_b_z_315.png	left	ccw	45	NA	NA	NA	NA	0	15	15	135	223.9174222999718	NA	NA	NA	NA	224.4682479999028	224.4682479999028	left	1	3.585476800100878	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/4_b.png	mr_images/4_b_z_315.png	left	ccw	45	NA	NA	NA	NA	0	16	16	111	228.08332419989165	NA	NA	NA	NA	228.6667922999477	228.6667922999477	right	0	2.5366005999967456	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/9_b.png	mr_images/9_a_z_45.png	right	cw	45	NA	NA	NA	NA	0	17	17	204	231.2329155999469	NA	NA	NA	NA	231.78316979994997	231.78316979994997	left	0	4.201626800000668	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/12_b.png	mr_images/12_b_z_225.png	left	ccw	135	NA	NA	NA	NA	0	18	18	71	236.01566519995689	NA	NA	NA	NA	236.56724469992332	236.56724469992332	left	1	4.29728579998482	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/5_a.png	mr_images/5_a_z_135.png	left	cw	135	NA	NA	NA	NA	0	19	19	129	240.88577069994065	NA	NA	NA	NA	241.46735019993503	241.46735019993503	left	1	4.773691099951975	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/11_b.png	mr_images/11_b_z_270.png	left	ccw	90	NA	NA	NA	NA	0	20	20	43	246.2683891999768	NA	NA	NA	NA	246.81878129998225	246.81878129998225	None	0	NA	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
