sequence	training_session.thisRepN	training_session.thisTrialN	training_session.thisN	training_session.thisIndex	training_2n.thisRepN	training_2n.thisTrialN	training_2n.thisN	training_2n.thisIndex	training_3n.thisRepN	training_3n.thisTrialN	training_3n.thisN	training_3n.thisIndex	training_4n.thisRepN	training_4n.thisTrialN	training_4n.thisN	training_4n.thisIndex	allrep_2nback.thisRepN	allrep_2nback.thisTrialN	allrep_2nback.thisN	allrep_2nback.thisIndex	trials_2nback.thisRepN	trials_2nback.thisTrialN	trials_2nback.thisN	trials_2nback.thisIndex	allrep_3nback.thisRepN	allrep_3nback.thisTrialN	allrep_3nback.thisN	allrep_3nback.thisIndex	trials_3nback.thisRepN	trials_3nback.thisTrialN	trials_3nback.thisN	trials_3nback.thisIndex	allrep_4nback.thisRepN	allrep_4nback.thisTrialN	allrep_4nback.thisN	allrep_4nback.thisIndex	trials_4nback.thisRepN	trials_4nback.thisTrialN	trials_4nback.thisN	trials_4nback.thisIndex	buffer02_txt.started	test_griddot_resp2.started	test_griddot_resp2.keys	test_griddot_resp2.rt	buffer23_txt.started	test_griddot_resp3.started	test_griddot_resp3.keys	test_griddot_resp3.rt	buffer34_txt.started	test_griddot_resp4.started	test_griddot_resp4.keys	test_griddot_resp4.rt	confirm_resp.started	confirm_resp.keys	confirm_resp.rt	buffer02_txt.stopped	instr_text_2.started	griddot_resp2.started	griddot_resp2.keys	griddot_resp2.rt	buffer23_txt.stopped	griddot_resp3.started	griddot_resp3.keys	griddot_resp3.rt	buffer34_txt.stopped	griddot_resp4.started	griddot_resp4.keys	griddot_resp4.rt	participant	session	date	expName	psychopyVersion	frameRate	...76
[(0, 0), (0, 0), (0, 0), (0, 2), (0, 0), (1, 0), (0, 1), (0, 0)]	0	0	0	0	0	0	0	211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	286.13681459985673	290.43638579989783	['left', 'left', 'right', 'left', 'left']	[5.027228599879891, 7.667740999953821, 9.568984399782494, 12.219456099905074, 14.153727099997923]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mfi	001	2026-02-20_14h35.22.933	SS	2023.1.0	60.04819469851661	NA
[(1, 2), (1, 1), (1, 1), (2, 2), (1, 1), (0, 2), (2, 2), (0, 2)]	0	0	0	0	0	1	1	671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	307.20433259988204	['left', 'left', 'right', 'left', 'left', 'right']	[5.753496399847791, 7.122170199872926, 8.923426499823108, 11.392215699888766, 13.431714599952102, 15.855851999949664]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mfi	001	2026-02-20_14h35.22.933	SS	2023.1.0	60.04819469851661	NA
[(0, 0), (1, 2), (2, 2), (1, 1), (1, 1), (2, 1), (1, 1), (2, 1)]	0	0	0	0	0	2	2	327	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	324.19824120006524	['left', 'left', 'left', 'left', 'right', 'right']	[4.8186991000548005, 7.341009899973869, 9.816587199922651, 11.272709199925885, 13.03155960002914, 15.248890300048515]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mfi	001	2026-02-20_14h35.22.933	SS	2023.1.0	60.04819469851661	NA
[(1, 2), (2, 0), (1, 1), (1, 2), (1, 2), (0, 0), (0, 0), (2, 0), (0, 0)]	0	0	0	0	NA	NA	NA	NA	0	0	0	243	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	341.12929359986447	345.21199089987203	['right', 'left', 'left', 'left', 'left', 'right']	[7.448630499886349, 9.722765499958768, 12.017282699933276, 13.558392799925059, 15.72071829997003, 17.329893599962816]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mfi	001	2026-02-20_14h35.22.933	SS	2023.1.0	60.04819469851661	NA
[(1, 2), (0, 0), (1, 1), (1, 2), (0, 0), (2, 1), (2, 2), (2, 1), (0, 0)]	0	0	0	0	NA	NA	NA	NA	0	1	1	680	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	364.1804036998656	['right', 'left', 'left']	[7.8229021998122334, 14.029357499908656, 16.17072069994174]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mfi	001	2026-02-20_14h35.22.933	SS	2023.1.0	60.04819469851661	NA
[(2, 0), (2, 2), (1, 2), (2, 0), (0, 1), (2, 2), (2, 0), (2, 2), (0, 1)]	0	0	0	0	NA	NA	NA	NA	0	2	2	54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	383.1762953000143	['right', 'left', 'right', 'left', 'right']	[7.06925840000622, 9.390363899990916, 11.872490500099957, 13.381640899926424, 15.358934200135991]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mfi	001	2026-02-20_14h35.22.933	SS	2023.1.0	60.04819469851661	NA
[(1, 1), (1, 2), (0, 0), (0, 1), (1, 1), (1, 2), (2, 2), (1, 2), (1, 0), (0, 2)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	356	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	402.1374218999408	406.2202794998884	['right', 'right', 'left', 'left', 'left']	[8.916536699980497, 11.24676109990105, 13.126001099823043, 15.484329900005832, 17.788028500042856]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mfi	001	2026-02-20_14h35.22.933	SS	2023.1.0	60.04819469851661	NA
[(2, 0), (2, 1), (2, 1), (1, 1), (2, 0), (2, 2), (2, 1), (2, 2), (0, 1), (0, 1)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	590	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	427.200563600054	['right', 'left', 'right', 'left', 'left', 'left']	[9.070599399972707, 11.088943199953064, 14.020525600062683, 15.059628400020301, 17.145922200055793, 19.870368800126016]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mfi	001	2026-02-20_14h35.22.933	SS	2023.1.0	60.04819469851661	NA
[(0, 0), (2, 0), (2, 2), (1, 2), (0, 0), (2, 1), (2, 2), (1, 2), (1, 2), (2, 2)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	2	2	328	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	448.18491199985147	['left', 'right', 'right', 'right', 'left', 'left']	[3.0119647001847625, 9.083833200158551, 11.478392699966207, 14.092252500122413, 14.583612099988386, 17.45239039999433]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mfi	001	2026-02-20_14h35.22.933	SS	2023.1.0	60.04819469851661	NA
NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	468.1281387999188	n	22.29120680014603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mfi	001	2026-02-20_14h35.22.933	SS	2023.1.0	60.04819469851661	NA
