training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	arsal_train.thisRepN	arsal_train.thisTrialN	arsal_train.thisN	arsal_train.thisIndex	arsal_s2.thisRepN	arsal_s2.thisTrialN	arsal_s2.thisN	arsal_s2.thisIndex	arsal_s3.thisRepN	arsal_s3.thisTrialN	arsal_s3.thisN	arsal_s3.thisIndex	arsal_s4.thisRepN	arsal_s4.thisTrialN	arsal_s4.thisN	arsal_s4.thisIndex	blank.started	blank.stopped	matrix_resp.started	sequence	repeat_idx	matrix_resp.keys	matrix_resp.rt	trainconf.keys	trainconf.rt	matrix_resp_2.started	matrix_resp_2.keys	matrix_resp_2.rt	matrix_resp_3.started	matrix_resp_3.keys	matrix_resp_3.rt	byebye_text.started	participant	session	date	expName	psychopyVersion	frameRate	...43
0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	190.61310959979892	191.1653501000255	191.1653501000255	[[(-1, 1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (-1, -1, 1), (-1, 1, -1), (-1, -1, 1), (-1, 1, -1), (-1, -1, 1)], [(1, -1, 1), (-1, -1, 1), (-1, -1, 1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, 1)], [(1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, -1, 1), (1, -1, -1), (-1, -1, 1), (1, -1, -1)], [(-1, 1, -1), (1, -0.2, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, -1), (1, -0.2, -1)], [(-1, -1, 1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, -1), (1, -1, 1)], [(-1, 1, -1), (-1, 1, -1), (1, -0.2, -1), (-1, 1, -1), (-1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1), (1, -1, -1)], [(1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, -0.2, -1)], [(1, -1, 1), (-1, -1, 1), (-1, -1, 1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, 1)]]	1	['left', 'left', 'left']	[5.41954779997468, 8.837316200137138, 11.133636199869215]	NA	NA	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_17h06.05.837	CMT	2023.1.0	60.02256843397726	NA
0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	215.12647880008444	NA	NA	NA	NA	NA	NA	['n']	[3.820398800075054]	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_17h06.05.837	CMT	2023.1.0	60.02256843397726	NA
1	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	219.47615280002356	219.99653840018436	219.99653840018436	[[(1, -1, -1), (-1, 1, -1), (-1, 1, -1), (-1, 1, -1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1)], [(1, 1, -1), (-1, 1, -1), (1, -0.2, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1)], [(-1, -1, 1), (1, 1, -1), (-1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1)], [(-1, -1, 1), (-1, -1, 1), (1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (-1, -1, 1), (1, -1, -1), (-1, -1, 1), (1, -1, -1)], [(1, -0.2, -1), (1, -1, 1), (1, -0.2, -1), (-1, 1, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, -0.2, -1)], [(-1, -1, 1), (-1, 1, -1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1)], [(1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -0.2, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1)], [(1, 1, -1), (-1, 1, -1), (1, -0.2, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1)]]	1	['left', 'left', 'right']	[4.293263399973512, 6.716552100144327, 9.879607799928635]	NA	NA	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_17h06.05.837	CMT	2023.1.0	60.02256843397726	NA
1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	243.9889258001931	NA	NA	NA	NA	NA	NA	['n']	[1.4267218001186848]	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_17h06.05.837	CMT	2023.1.0	60.02256843397726	NA
2	0	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	245.9389376998879	246.47210469981655	246.47210469981655	[[(-1, 1, -1), (1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, 1, -1), (-1, -1, 1), (1, -1, 1), (1, 1, -1), (1, -1, 1)], [(-1, -1, 1), (1, 1, -1), (1, -0.2, -1), (1, 1, -1), (1, -0.2, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -0.2, -1)], [(1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, -1, -1), (-1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, -1), (-1, -1, 1)], [(-1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, -1, 1), (-1, -1, 1), (1, 1, -1), (1, 1, -1), (-1, -1, 1), (-1, -1, 1)], [(-1, 1, -1), (-1, 1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1)], [(1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, -1), (1, -1, -1), (1, 1, -1), (-1, -1, 1), (-1, -1, 1), (1, 1, -1)], [(1, 1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, -1)], [(1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, -1), (1, -1, -1), (1, 1, -1), (-1, -1, 1), (-1, -1, 1), (1, 1, -1)]]	5	['left', 'left', 'right', 'left', 'left', 'left', 'left']	[4.467048700433224, 8.051017400342971, 11.033379600383341, 15.038739900104702, 16.91442700009793, 19.750230900477618, 22.24246340012178]	NA	NA	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_17h06.05.837	CMT	2023.1.0	60.02256843397726	NA
2	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	270.45200629998	NA	NA	NA	NA	NA	NA	['n']	[22.04590420005843]	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_17h06.05.837	CMT	2023.1.0	60.02256843397726	NA
3	0	3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	293.01576479990035	293.5655450997874	293.5655450997874	[[(-1, -1, 1), (1, 1, -1), (-1, -1, 1), (1, -0.2, -1), (1, 1, -1), (1, -0.2, -1), (1, 1, -1), (1, 1, -1), (1, -0.2, -1)], [(-1, -1, 1), (-1, -1, 1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (1, -1, -1), (-1, 1, -1)], [(1, 1, -1), (-1, 1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, -1)], [(1, -1, -1), (1, -1, 1), (-1, 1, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, 1), (-1, -1, 1), (1, -1, 1), (1, -1, 1)], [(1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1)], [(1, 1, -1), (1, -0.2, -1), (-1, -1, 1), (-1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, 1, -1), (-1, 1, -1), (1, 1, -1)], [(1, -0.2, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, 1), (-1, 1, -1), (1, -1, 1), (-1, -1, 1), (1, -0.2, -1), (-1, 1, -1)], [(1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1)]]	4	['left', 'right', 'left', 'left', 'right', 'left']	[4.016785900108516, 8.260667900089175, 10.600560400169343, 13.215560300275683, 17.994933899957687, 19.822132099885494]	NA	NA	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_17h06.05.837	CMT	2023.1.0	60.02256843397726	NA
3	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	317.5333162001334	NA	NA	NA	NA	NA	NA	['y']	[40.91962260007858]	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_17h06.05.837	CMT	2023.1.0	60.02256843397726	NA
NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	380.4244169001467	380.9533035000786	380.9533035000786	[[(1, -1, -1), (1, -1, -1), (-1, 1, -1), (1, 1, -1), (1, -1, -1), (-1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, 1, -1)], [(-1, -1, 1), (-1, -1, 1), (1, -1, 1), (1, 1, -1), (-1, 1, -1), (1, -1, 1), (-1, -1, 1), (1, 1, -1), (-1, 1, -1)], [(1, -0.2, -1), (1, -0.2, -1), (1, 1, -1), (1, 1, -1), (-1, 1, -1), (-1, -1, 1), (-1, 1, -1), (1, 1, -1), (-1, -1, 1)], [(1, 1, -1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (-1, 1, -1)], [(-1, -1, 1), (1, -1, -1), (1, -1, 1), (-1, 1, -1), (1, -1, -1), (1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, -1)], [(1, -1, 1), (-1, -1, 1), (1, -1, 1), (1, -1, -1), (1, -1, -1), (1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, -1, 1)], [(-1, -1, 1), (1, 1, -1), (-1, 1, -1), (1, -1, 1), (-1, 1, -1), (1, 1, -1), (1, -1, 1), (1, 1, -1), (1, -1, 1)], [(-1, -1, 1), (1, -1, -1), (1, -1, 1), (-1, 1, -1), (1, -1, -1), (1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, -1)]]	4	['left', 'left', 'right', 'left', 'left', 'right', 'right']	[4.0218748999759555, 6.78446160024032, 10.729305200278759, 13.730475600343198, 16.573674600105733, 20.109588300343603, 23.572987700346857]	NA	NA	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_17h06.05.837	CMT	2023.1.0	60.02256843397726	NA
NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	404.94996189977974	NA	405.4698799001053	[[(1, -0.2, -1), (-1, 1, -1), (1, -0.2, -1), (-1, -1, 1), (-1, -1, 1), (-1, -1, 1), (-1, 1, -1), (-1, -1, 1), (1, -1, -1)], [(1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (1, -0.2, -1), (-1, -1, 1), (1, -1, -1), (1, -0.2, -1), (1, -1, -1), (1, -0.2, -1)], [(1, -0.2, -1), (-1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (1, 1, -1)], [(-1, -1, 1), (1, -1, 1), (1, -1, -1), (-1, 1, -1), (1, -1, 1), (-1, 1, -1), (1, -1, 1), (-1, -1, 1), (1, -1, 1)], [(-1, 1, -1), (1, -0.2, -1), (-1, -1, 1), (-1, 1, -1), (1, -0.2, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -0.2, -1)], [(1, -1, -1), (-1, 1, -1), (-1, -1, 1), (1, -1, -1), (1, -0.2, -1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (1, -0.2, -1)], [(1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (1, -1, 1), (-1, 1, -1), (-1, -1, 1), (-1, 1, -1), (1, -0.2, -1), (-1, -1, 1)], [(-1, 1, -1), (1, -0.2, -1), (-1, -1, 1), (-1, 1, -1), (1, -0.2, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -0.2, -1)]]	4	['left', 'right', 'left', 'right', 'right', 'right', 'right']	[4.868597900029272, 7.145154400262982, 9.9697633003816, 12.88343090005219, 17.648249000310898, 20.243605399969965, 23.174410300329328]	NA	NA	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_17h06.05.837	CMT	2023.1.0	60.02256843397726	NA
