imagefile	stimfile	corrAns	MRdir	angle	training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	mentalrot_trials.thisRepN	mentalrot_trials.thisTrialN	mentalrot_trials.thisN	mentalrot_trials.thisIndex	blank.started	mr_answ_2.started	mr_answ_2.keys	mr_answ_2.corr	mr_answ_2.rt	blank.stopped	mr_answ.started	mr_answ.keys	mr_answ.corr	mr_answ.rt	byebye_text.started	byebye_text.stopped	participant	session	date	expName	psychopyVersion	frameRate	...32
mr_images/6_a.png	mr_images/6_a_z_135.png	left	cw	135	0	0	0	153	NA	NA	NA	NA	76.95655140001327	77.4284832002595	left	1	3.864890499971807	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/11_a.png	mr_images/11_b_z_315.png	right	ccw	45	0	1	1	26	NA	NA	NA	NA	81.32254720013589	81.90567910019308	left	0	3.4468445000238717	81.90567910019308	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/12_a.png	mr_images/12_a_z_45.png	left	cw	45	0	2	2	49	NA	NA	NA	NA	85.37201160006225	85.95516310026869	None	0	NA	85.95516310026869	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/3_a.png	mr_images/3_a_z_90.png	left	cw	90	0	3	3	77	NA	NA	NA	NA	90.8878601999022	91.45442289998756	right	0	3.5801872997544706	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/12_b.png	mr_images/12_b_z_45.png	left	cw	45	0	4	4	61	NA	NA	NA	NA	95.05414899997412	95.62157309986652	left	1	4.169707399792969	95.62157309986652	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/7_b.png	mr_images/7_a_z_225.png	right	ccw	135	NA	NA	NA	NA	0	0	0	190	142.56432410003617	NA	NA	NA	NA	NA	143.05447530001402	None	0	NA	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/11_a.png	mr_images/11_a_z_270.png	left	ccw	90	NA	NA	NA	NA	0	1	1	31	147.95076669985428	NA	NA	NA	NA	NA	148.49637150019407	left	1	3.3523734998889267	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/4_b.png	mr_images/4_b_z_135.png	left	cw	135	NA	NA	NA	NA	0	2	2	117	151.87981079984456	NA	NA	NA	NA	152.46302579995245	152.46302579995245	left	1	2.525598200038075	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/5_a.png	mr_images/5_a_z_315.png	left	ccw	45	NA	NA	NA	NA	0	3	3	123	155.01241560000926	NA	NA	NA	NA	155.5819953000173	155.5819953000173	left	1	3.419912099838257	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/3_a.png	mr_images/3_b_z_225.png	right	ccw	135	NA	NA	NA	NA	0	4	4	82	159.03264140011743	NA	NA	NA	NA	159.58299659984186	159.58299659984186	right	1	3.539903699886054	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/12_b.png	mr_images/12_a_z_45.png	right	cw	45	NA	NA	NA	NA	0	5	5	60	163.14878069981933	NA	NA	NA	NA	163.6658931998536	163.6658931998536	left	0	4.2786789000965655	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/12_b.png	mr_images/12_b_z_315.png	left	ccw	45	NA	NA	NA	NA	0	6	6	63	167.9647313999012	NA	NA	NA	NA	168.52932990016416	168.52932990016416	left	1	3.2336019999347627	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/11_b.png	mr_images/11_b_z_270.png	left	ccw	90	NA	NA	NA	NA	0	7	7	43	171.78087420016527	NA	NA	NA	NA	172.34307359997183	172.34307359997183	right	0	1.9898653998970983	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/1_a.png	mr_images/1_a_z_270.png	left	ccw	90	NA	NA	NA	NA	0	8	8	7	174.35974409990013	NA	NA	NA	NA	174.90944059984758	174.90944059984758	left	1	3.9694829997606575	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/9_b.png	mr_images/9_a_z_90.png	right	cw	90	NA	NA	NA	NA	0	9	9	208	178.90884990012273	NA	NA	NA	NA	179.49244150007144	179.49244150007144	left	0	2.9444205998443067	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/11_a.png	mr_images/11_b_z_135.png	right	cw	135	NA	NA	NA	NA	0	10	10	32	182.45846239989623	NA	NA	NA	NA	183.00835959985852	183.00835959985852	right	1	3.514829100109637	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/7_b.png	mr_images/7_b_z_270.png	left	ccw	90	NA	NA	NA	NA	0	11	11	187	186.54137740004808	NA	NA	NA	NA	187.09538770001384	187.09538770001384	left	1	4.457786099985242	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/5_a.png	mr_images/5_a_z_135.png	left	cw	135	NA	NA	NA	NA	0	12	12	129	191.57387250009924	NA	NA	NA	NA	192.1403995999135	192.1403995999135	right	0	3.4653280996717513	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/6_a.png	mr_images/6_b_z_90.png	right	cw	90	NA	NA	NA	NA	0	13	13	148	195.62338230013847	NA	NA	NA	NA	196.1729152002372	196.1729152002372	left	0	4.8121092999354005	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/5_b.png	mr_images/5_a_z_135.png	right	cw	135	NA	NA	NA	NA	0	14	14	140	201.0059126000851	NA	NA	NA	NA	201.55563910026103	201.55563910026103	left	0	4.764345199801028	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/12_a.png	mr_images/12_b_z_225.png	right	ccw	135	NA	NA	NA	NA	0	15	15	58	206.33842309983447	NA	NA	NA	NA	206.9069802998565	206.9069802998565	left	0	3.1671429998241365	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/7_a.png	mr_images/7_b_z_90.png	right	cw	90	NA	NA	NA	NA	0	16	16	172	210.09219990018755	NA	NA	NA	NA	210.6386449998245	210.6386449998245	None	0	NA	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/7_a.png	mr_images/7_b_z_45.png	right	cw	45	NA	NA	NA	NA	0	17	17	168	215.60385299986228	NA	NA	NA	NA	NA	216.1534985001199	right	1	4.655951799824834	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/1_b.png	mr_images/1_b_z_135.png	left	cw	135	NA	NA	NA	NA	0	18	18	21	220.83641469990835	NA	NA	NA	NA	221.40723429992795	221.40723429992795	right	0	3.0685421996749938	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/6_a.png	mr_images/6_a_z_135.png	left	cw	135	NA	NA	NA	NA	0	19	19	153	224.50688620004803	NA	NA	NA	NA	225.03562580002472	225.03562580002472	right	0	4.1875978000462055	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/1_a.png	mr_images/1_b_z_135.png	right	cw	135	NA	NA	NA	NA	0	20	20	8	229.2521116998978	NA	NA	NA	NA	229.7851742999628	229.7851742999628	left	0	2.9836916998028755	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/9_b.png	mr_images/9_a_z_315.png	right	ccw	45	NA	NA	NA	NA	0	21	21	206	232.80161210009828	NA	NA	NA	NA	233.3520392999053	233.3520392999053	left	0	4.093211799860001	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/12_b.png	mr_images/12_a_z_135.png	right	cw	135	NA	NA	NA	NA	0	22	22	68	237.4674647999927	NA	NA	NA	NA	238.01738200010732	238.01738200010732	left	0	2.7952923998236656	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/7_b.png	mr_images/7_b_z_45.png	left	cw	45	NA	NA	NA	NA	0	23	23	181	240.83369799982756	NA	NA	NA	NA	241.35325729986653	241.35325729986653	left	1	3.6549483998678625	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/6_a.png	mr_images/6_a_z_270.png	left	ccw	90	NA	NA	NA	NA	0	24	24	151	245.03734729997817	NA	NA	NA	NA	245.58823250001296	245.58823250001296	right	0	4.897324199788272	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
