sequence	training_session.thisRepN	training_session.thisTrialN	training_session.thisN	training_session.thisIndex	training_2n.thisRepN	training_2n.thisTrialN	training_2n.thisN	training_2n.thisIndex	training_3n.thisRepN	training_3n.thisTrialN	training_3n.thisN	training_3n.thisIndex	training_4n.thisRepN	training_4n.thisTrialN	training_4n.thisN	training_4n.thisIndex	allrep_2nback.thisRepN	allrep_2nback.thisTrialN	allrep_2nback.thisN	allrep_2nback.thisIndex	trials_2nback.thisRepN	trials_2nback.thisTrialN	trials_2nback.thisN	trials_2nback.thisIndex	allrep_3nback.thisRepN	allrep_3nback.thisTrialN	allrep_3nback.thisN	allrep_3nback.thisIndex	trials_3nback.thisRepN	trials_3nback.thisTrialN	trials_3nback.thisN	trials_3nback.thisIndex	allrep_4nback.thisRepN	allrep_4nback.thisTrialN	allrep_4nback.thisN	allrep_4nback.thisIndex	trials_4nback.thisRepN	trials_4nback.thisTrialN	trials_4nback.thisN	trials_4nback.thisIndex	buffer02_txt.started	test_griddot_resp2.started	test_griddot_resp2.keys	test_griddot_resp2.rt	buffer23_txt.started	test_griddot_resp3.started	test_griddot_resp3.keys	test_griddot_resp3.rt	buffer34_txt.started	test_griddot_resp4.started	test_griddot_resp4.keys	test_griddot_resp4.rt	confirm_resp.started	confirm_resp.keys	confirm_resp.rt	buffer02_txt.stopped	buffer23_txt.stopped	instr_text_2.started	griddot_resp2.started	griddot_resp2.keys	griddot_resp2.rt	griddot_resp3.started	griddot_resp3.keys	griddot_resp3.rt	buffer34_txt.stopped	griddot_resp4.started	griddot_resp4.keys	griddot_resp4.rt	participant	session	date	expName	psychopyVersion	frameRate	...76
[(1, 1), (2, 0), (0, 1), (2, 0), (0, 1), (0, 0), (0, 2), (2, 2)]	0	0	0	0	0	0	0	407	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	268.8990195998922	272.96624640002847	['left', 'left']	[6.2807732000947, 11.471045500133187]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	atn	001	2026-03-10_17h04.53.895	SS	2023.1.0	60.02880185674705	NA
[(1, 1), (0, 1), (2, 0), (0, 2), (2, 0), (2, 2), (0, 0), (2, 2)]	0	0	0	0	0	1	1	269	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	289.96449969988316	['left', 'left']	[5.052175499964505, 11.606674899812788]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	atn	001	2026-03-10_17h04.53.895	SS	2023.1.0	60.02880185674705	NA
[(1, 0), (1, 1), (2, 0), (1, 1), (0, 1), (2, 2), (0, 1), (2, 2)]	0	0	0	0	0	2	2	360	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	306.96031440002844	['right', 'left']	[0.11440980015322566, 5.234565699938685]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	atn	001	2026-03-10_17h04.53.895	SS	2023.1.0	60.02880185674705	NA
[(0, 2), (2, 2), (1, 2), (2, 1), (0, 1), (0, 1), (2, 1), (1, 2), (0, 1)]	0	0	0	0	NA	NA	NA	NA	0	0	0	487	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	323.90801579970866	327.97410079976544	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	atn	001	2026-03-10_17h04.53.895	SS	2023.1.0	60.02880185674705	NA
[(0, 2), (1, 1), (1, 1), (0, 2), (1, 1), (0, 0), (0, 1), (2, 0), (2, 1)]	0	0	0	0	NA	NA	NA	NA	0	1	1	699	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	346.95820420002565	['right', 'left']	[7.8668988002464175, 15.479885300155729]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	atn	001	2026-03-10_17h04.53.895	SS	2023.1.0	60.02880185674705	NA
[(2, 2), (1, 2), (0, 2), (0, 0), (1, 2), (0, 2), (1, 0), (2, 2), (1, 2)]	0	0	0	0	NA	NA	NA	NA	0	2	2	596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	365.9564915997907	['left']	[1.4570352002047002]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	atn	001	2026-03-10_17h04.53.895	SS	2023.1.0	60.02880185674705	NA
[(2, 0), (2, 2), (2, 0), (2, 0), (2, 0), (1, 1), (2, 2), (2, 0), (0, 2), (0, 1)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	384.8996399999596	388.9655113997869	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	atn	001	2026-03-10_17h04.53.895	SS	2023.1.0	60.02880185674705	NA
[(1, 1), (0, 1), (0, 2), (2, 0), (1, 0), (0, 1), (1, 2), (1, 2), (1, 2), (0, 1)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	578	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	409.9499558997341	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	atn	001	2026-03-10_17h04.53.895	SS	2023.1.0	60.02880185674705	NA
[(1, 0), (0, 1), (2, 0), (0, 0), (1, 0), (2, 1), (2, 0), (2, 2), (1, 0), (1, 0)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	2	2	82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	430.9597395998426	['left']	[15.529052200261503]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	atn	001	2026-03-10_17h04.53.895	SS	2023.1.0	60.02880185674705	NA
NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	450.894992900081	n	10.97842469997704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	atn	001	2026-03-10_17h04.53.895	SS	2023.1.0	60.02880185674705	NA
[(0, 2), (2, 1), (2, 2), (0, 0), (2, 2), (0, 2), (2, 2), (0, 1)]	1	0	1	0	0	0	0	115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	462.89302319986746	466.9714541998692	['left', 'left', 'left', 'left']	[6.033948400057852, 7.770364500116557, 11.755353999789804, 15.013307000044733]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	465.95712839998305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	atn	001	2026-03-10_17h04.53.895	SS	2023.1.0	60.02880185674705	NA
[(2, 0), (2, 0), (2, 0), (2, 0), (0, 0), (2, 2), (2, 1), (2, 0)]	1	0	1	0	0	1	1	516	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	483.9712331998162	['right', 'right', 'left', 'left', 'left', 'left']	[6.240968100260943, 7.945048600435257, 9.495370200369507, 11.826527300290763, 13.156663100235164, 15.235482100397348]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	atn	001	2026-03-10_17h04.53.895	SS	2023.1.0	60.02880185674705	NA
[(2, 0), (1, 1), (2, 0), (1, 1), (0, 2), (0, 1), (1, 0), (2, 0)]	1	0	1	0	0	2	2	444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	500.9538396000862	['right']	[5.204381600022316]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	atn	001	2026-03-10_17h04.53.895	SS	2023.1.0	60.02880185674705	NA
[(0, 2), (1, 2), (0, 2), (0, 2), (2, 0), (2, 1), (2, 1), (1, 1), (2, 1)]	1	0	1	0	NA	NA	NA	NA	0	0	0	159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	517.8977417000569	521.9673096998595	['right', 'left', 'left', 'left', 'left']	[8.23302200017497, 9.885504300240427, 11.588630100246519, 13.492565100081265, 14.914810500107706]	NA	NA	NA	NA	NA	NA	NA	NA	520.980431499891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	atn	001	2026-03-10_17h04.53.895	SS	2023.1.0	60.02880185674705	NA
