sequence	training_session.thisRepN	training_session.thisTrialN	training_session.thisN	training_session.thisIndex	training_2n.thisRepN	training_2n.thisTrialN	training_2n.thisN	training_2n.thisIndex	training_3n.thisRepN	training_3n.thisTrialN	training_3n.thisN	training_3n.thisIndex	training_4n.thisRepN	training_4n.thisTrialN	training_4n.thisN	training_4n.thisIndex	allrep_2nback.thisRepN	allrep_2nback.thisTrialN	allrep_2nback.thisN	allrep_2nback.thisIndex	trials_2nback.thisRepN	trials_2nback.thisTrialN	trials_2nback.thisN	trials_2nback.thisIndex	allrep_3nback.thisRepN	allrep_3nback.thisTrialN	allrep_3nback.thisN	allrep_3nback.thisIndex	trials_3nback.thisRepN	trials_3nback.thisTrialN	trials_3nback.thisN	trials_3nback.thisIndex	allrep_4nback.thisRepN	allrep_4nback.thisTrialN	allrep_4nback.thisN	allrep_4nback.thisIndex	trials_4nback.thisRepN	trials_4nback.thisTrialN	trials_4nback.thisN	trials_4nback.thisIndex	buffer02_txt.started	test_griddot_resp2.started	test_griddot_resp2.keys	test_griddot_resp2.rt	buffer23_txt.started	test_griddot_resp3.started	test_griddot_resp3.keys	buffer34_txt.started	test_griddot_resp4.started	test_griddot_resp4.keys	test_griddot_resp4.rt	confirm_resp.started	confirm_resp.keys	confirm_resp.rt	buffer02_txt.stopped	test_griddot_resp3.rt	instr_text_2.started	griddot_resp2.started	griddot_resp2.keys	griddot_resp2.rt	buffer23_txt.stopped	griddot_resp3.started	griddot_resp3.keys	griddot_resp3.rt	buffer34_txt.stopped	griddot_resp4.started	griddot_resp4.keys	griddot_resp4.rt	participant	session	date	expName	psychopyVersion	frameRate	...76
[(0, 1), (0, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (1, 0)]	0	0	0	0	0	0	0	318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1020.6074896999636	1024.7234239000827	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	rsd	001	2026-03-17_12h47.42.402	SS	2023.1.0	60.033522750720216	NA
[(0, 0), (1, 2), (0, 0), (1, 0), (0, 0), (1, 1), (0, 1), (0, 0)]	0	0	0	0	0	1	1	381	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1041.6746782003902	['left', 'left']	[8.894196900073439, 11.953666099812835]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	rsd	001	2026-03-17_12h47.42.402	SS	2023.1.0	60.033522750720216	NA
[(0, 2), (0, 0), (0, 1), (2, 2), (0, 0), (0, 1), (0, 0), (0, 1)]	0	0	0	0	0	2	2	389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1058.668721999973	['left']	[6.875758999492973]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	rsd	001	2026-03-17_12h47.42.402	SS	2023.1.0	60.033522750720216	NA
[(1, 0), (1, 2), (0, 2), (1, 0), (0, 0), (2, 0), (1, 0), (1, 0), (0, 2)]	0	0	0	0	NA	NA	NA	NA	0	0	0	555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1075.5996926003136	1079.6511670001782	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	rsd	001	2026-03-17_12h47.42.402	SS	2023.1.0	60.033522750720216	NA
[(0, 1), (0, 2), (2, 2), (0, 1), (2, 1), (1, 1), (0, 1), (1, 1), (0, 1)]	0	0	0	0	NA	NA	NA	NA	0	1	1	276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1098.6840780000202	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	rsd	001	2026-03-17_12h47.42.402	SS	2023.1.0	60.033522750720216	NA
[(1, 1), (2, 0), (0, 0), (1, 0), (0, 1), (0, 0), (1, 2), (0, 1), (0, 0)]	0	0	0	0	NA	NA	NA	NA	0	2	2	623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1117.660522900056	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	rsd	001	2026-03-17_12h47.42.402	SS	2023.1.0	60.033522750720216	NA
[(2, 0), (2, 0), (1, 2), (1, 1), (0, 0), (2, 0), (2, 2), (2, 0), (0, 0), (1, 1)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	221	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1136.612215100322	1140.677233500406	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	rsd	001	2026-03-17_12h47.42.402	SS	2023.1.0	60.033522750720216	NA
[(0, 1), (0, 1), (0, 0), (0, 1), (1, 2), (0, 1), (2, 2), (2, 1), (1, 2), (1, 0)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	414	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1161.6877578003332	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	rsd	001	2026-03-17_12h47.42.402	SS	2023.1.0	60.033522750720216	NA
[(1, 1), (1, 0), (0, 0), (1, 0), (1, 1), (0, 2), (0, 0), (0, 0), (1, 0), (1, 2)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	2	2	106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1182.667819600087	['left', 'left', 'right', 'left']	[10.023125299718231, 10.865141099784523, 12.856259599793702, 15.091763800010085]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	rsd	001	2026-03-17_12h47.42.402	SS	2023.1.0	60.033522750720216	NA
NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1202.598681000061	n	146.55746269971132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	rsd	001	2026-03-17_12h47.42.402	SS	2023.1.0	60.033522750720216	NA
