sequence	training_session.thisRepN	training_session.thisTrialN	training_session.thisN	training_session.thisIndex	training_2n.thisRepN	training_2n.thisTrialN	training_2n.thisN	training_2n.thisIndex	training_3n.thisRepN	training_3n.thisTrialN	training_3n.thisN	training_3n.thisIndex	training_4n.thisRepN	training_4n.thisTrialN	training_4n.thisN	training_4n.thisIndex	allrep_2nback.thisRepN	allrep_2nback.thisTrialN	allrep_2nback.thisN	allrep_2nback.thisIndex	trials_2nback.thisRepN	trials_2nback.thisTrialN	trials_2nback.thisN	trials_2nback.thisIndex	allrep_3nback.thisRepN	allrep_3nback.thisTrialN	allrep_3nback.thisN	allrep_3nback.thisIndex	trials_3nback.thisRepN	trials_3nback.thisTrialN	trials_3nback.thisN	trials_3nback.thisIndex	allrep_4nback.thisRepN	allrep_4nback.thisTrialN	allrep_4nback.thisN	allrep_4nback.thisIndex	trials_4nback.thisRepN	trials_4nback.thisTrialN	trials_4nback.thisN	trials_4nback.thisIndex	buffer02_txt.started	test_griddot_resp2.started	test_griddot_resp2.keys	test_griddot_resp2.rt	buffer23_txt.started	test_griddot_resp3.started	test_griddot_resp3.keys	test_griddot_resp3.rt	buffer34_txt.started	test_griddot_resp4.started	test_griddot_resp4.keys	test_griddot_resp4.rt	confirm_resp.started	confirm_resp.keys	confirm_resp.rt	instr_text_2.started	buffer02_txt.stopped	griddot_resp2.started	griddot_resp2.keys	griddot_resp2.rt	griddot_resp3.started	griddot_resp3.keys	griddot_resp3.rt	buffer34_txt.stopped	griddot_resp4.started	griddot_resp4.keys	griddot_resp4.rt	participant	session	date	expName	psychopyVersion	frameRate	...75
[(0, 1), (0, 0), (2, 2), (0, 0), (2, 1), (0, 0), (2, 0), (2, 0)]	0	0	0	0	0	0	0	515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	354.89219299983233	359.0081452000886	['left', 'right']	[6.066201199777424, 8.751826499588788]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ABF	001	2026-03-12_13h16.02.571	SS	2023.1.0	60.00888132617536	NA
[(2, 1), (1, 1), (1, 0), (1, 1), (0, 2), (1, 1), (1, 0), (0, 0)]	0	0	0	0	0	1	1	282	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	375.9559082998894	['left', 'left', 'left']	[5.525190900079906, 10.15943649969995, 13.4356962996535]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ABF	001	2026-03-12_13h16.02.571	SS	2023.1.0	60.00888132617536	NA
[(2, 2), (1, 2), (1, 0), (0, 0), (1, 0), (1, 1), (1, 0), (1, 0)]	0	0	0	0	0	2	2	313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	392.95351460017264	['left', 'left', 'right', 'left', 'right', 'left']	[4.938177899923176, 6.940768599510193, 9.843128899578005, 11.15927019994706, 13.656458199955523, 14.648560399655253]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ABF	001	2026-03-12_13h16.02.571	SS	2023.1.0	60.00888132617536	NA
[(2, 0), (1, 1), (2, 1), (0, 2), (0, 2), (2, 1), (1, 1), (0, 2), (2, 1)]	0	0	0	0	NA	NA	NA	NA	0	0	0	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	409.88447220018134	413.9506537998095	['left', 'left', 'left', 'right', 'right', 'left']	[7.156397599726915, 9.20760539965704, 11.941217499785125, 13.448251799680293, 15.966040099970996, 16.51715929992497]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ABF	001	2026-03-12_13h16.02.571	SS	2023.1.0	60.00888132617536	NA
[(0, 1), (2, 2), (1, 0), (2, 1), (0, 0), (2, 1), (0, 0), (0, 0), (2, 1)]	0	0	0	0	NA	NA	NA	NA	0	1	1	567	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	432.9479359998368	['left', 'left', 'left', 'right', 'right', 'right']	[7.501229499466717, 9.501657399814576, 11.46184579981491, 13.417991499882191, 15.518446299713105, 16.825559799559414]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ABF	001	2026-03-12_13h16.02.571	SS	2023.1.0	60.00888132617536	NA
[(2, 2), (0, 0), (1, 1), (0, 0), (0, 0), (1, 0), (1, 0), (1, 2), (1, 0)]	0	0	0	0	NA	NA	NA	NA	0	2	2	126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	451.94522169977427	['left', 'right', 'left', 'left', 'left', 'right']	[8.822453999891877, 9.692551299929619, 10.959691599942744, 13.234011799562722, 15.70416219998151, 17.193067399784923]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ABF	001	2026-03-12_13h16.02.571	SS	2023.1.0	60.00888132617536	NA
[(0, 0), (0, 2), (1, 2), (0, 2), (1, 1), (1, 1), (0, 2), (2, 1), (1, 1), (1, 1)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	630	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	470.8926638998091	474.9453948000446	['left', 'right', 'right', 'left', 'right', 'right']	[8.7696398999542, 11.024537399876863, 12.992636600043625, 15.11791789997369, 17.132472699973732, 19.6937176999636]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ABF	001	2026-03-12_13h16.02.571	SS	2023.1.0	60.00888132617536	NA
[(0, 1), (2, 0), (2, 1), (2, 0), (2, 2), (0, 1), (0, 0), (2, 0), (2, 2), (0, 0)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	495.9559281999246	['left', 'right', 'left', 'right', 'right', 'left']	[8.826898999977857, 11.968214500229806, 12.686304899863899, 14.867516499944031, 17.199181099887937, 18.768288500141352]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ABF	001	2026-03-12_13h16.02.571	SS	2023.1.0	60.00888132617536	NA
[(1, 1), (0, 2), (2, 1), (2, 0), (1, 1), (0, 2), (1, 0), (2, 1), (1, 0), (1, 0)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	2	2	603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	516.9529633000493	['right', 'right', 'left', 'right', 'left', 'left']	[9.263210699893534, 11.005348099861294, 12.677458699792624, 15.481784699950367, 17.968901299871504, 18.853265999816358]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ABF	001	2026-03-12_13h16.02.571	SS	2023.1.0	60.00888132617536	NA
NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	536.8834036998451	y	2.8227434996515512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ABF	001	2026-03-12_13h16.02.571	SS	2023.1.0	60.00888132617536	NA
