clr1p1,clr2p1,clr3p1,clr4p1,clr1p2,clr2p2,clr3p2,clr4p2,Hshow,Htest,stim_var,blank_clr,difficulty,answ,l_test,r_test,realclr2,realclr3,realclr,fake_hue,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,CC_resp_2.keys,CC_resp_2.corr,CC_resp_2.rt,CC_resp.keys,CC_resp.corr,CC_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
#00897B,#004D40,#E0F2F1,#4DB6AC,#3949AB,#1A237E,#000000,#7986CB,lime,indigo,l_rand1,clr3,low,left,#E8EAF6,#9FA8DA,#1A237E,#E8EAF6,#E8EAF6,indigo,0,0,0,29,,,,,left,1,0.5982174002565444,,,,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#3E2723,#EFEBE9,#6D4C41,#A1887F,#0D47A1,#E3F2FD,#000000,#64B5F6,brown,blue,l_rand2,clr3,none,right,#5E35B1,#1E88E5,#E3F2FD,#1E88E5,#1E88E5,d_purple,0,1,1,87,,,,,right,1,0.5585736003704369,,,,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#33691E,#F1F8E9,#7CB342,#AED581,#0D47A1,#E3F2FD,#000000,#64B5F6,l_green,blue,l_rand2,clr3,low,left,#1E88E5,#42A5F5,#E3F2FD,#1E88E5,#1E88E5,blue,0,2,2,45,,,,,left,1,0.9934402001090348,,,,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#E65100,#FB8C00,#FFB74D,#FFF3E0,#0D47A1,#1E88E5,#000000,#E3F2FD,orange,blue,l_up,clr3,high,left,#64B5F6,#42A5F5,#1E88E5,#64B5F6,#64B5F6,blue,0,3,3,56,,,,,right,0,0.8421543003059924,,,,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#E65100,#FB8C00,#FFB74D,#FFF3E0,#0D47A1,#1E88E5,#000000,#E3F2FD,orange,blue,l_up,clr3,high,left,#64B5F6,#42A5F5,#1E88E5,#64B5F6,#64B5F6,blue,,,,,0,0,0,56,,,,right,0,1.3293237006291747,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#1A237E,#E8EAF6,#3949AB,#7986CB,#01579B,#E1F5FE,#000000,#4FC3F7,indigo,l_blue,l_rand2,clr3,none,right,#00897B,#039BE5,#E1F5FE,#039BE5,#039BE5,teal,,,,,0,1,1,85,,,,right,1,1.4588368004187942,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#D81B60,#880E4F,#FCE4EC,#F06292,#FDD835,#F57F17,#000000,#FFF176,pink,yellow,l_rand1,clr3,high,right,#FFF9C4,#FFFDE7,#F57F17,#FFFDE7,#FFFDE7,yellow,,,,,0,2,2,24,,,,right,1,1.883817800320685,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#3949AB,#1A237E,#E8EAF6,#7986CB,#7CB342,#000000,#F1F8E9,#AED581,indigo,l_green,l_rand1,clr2,high,left,#33691E,#558B2F,#33691E,#F1F8E9,#33691E,l_green,,,,,0,3,3,19,,,,left,1,0.9995004003867507,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#3949AB,#1A237E,#E8EAF6,#7986CB,#7CB342,#000000,#F1F8E9,#AED581,indigo,l_green,l_rand1,clr2,none,left,#33691E,#004D40,#33691E,#F1F8E9,#33691E,teal,,,,,0,4,4,75,,,,left,1,1.6249508005566895,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#43A047,#1B5E20,#E8F5E9,#81C784,#00ACC1,#006064,#000000,#4DD0E1,green,cyan,l_rand1,clr3,low,left,#E0F7FA,#80DEEA,#006064,#E0F7FA,#E0F7FA,cyan,,,,,0,5,5,31,,,,left,1,0.8630430004559457,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#FFFDE7,#FFF176,#FDD835,#F57F17,#E0F7FA,#4DD0E1,#000000,#006064,yellow,cyan,l_down,clr3,none,left,#00ACC1,#1E88E5,#4DD0E1,#00ACC1,#00ACC1,blue,,,,,0,6,6,70,,,,left,1,1.426676600240171,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#1B5E20,#43A047,#81C784,#E8F5E9,#004D40,#000000,#4DB6AC,#E0F2F1,green,lime,l_up,clr2,high,right,#00796B,#00897B,#00897B,#4DB6AC,#00897B,lime,,,,,0,7,7,52,,,,right,1,0.6765156001783907,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#880E4F,#FCE4EC,#D81B60,#F06292,#33691E,#000000,#7CB342,#AED581,pink,l_green,l_rand2,clr2,none,left,#F1F8E9,#FFFDE7,#F1F8E9,#7CB342,#F1F8E9,yellow,,,,,0,8,8,80,,,,right,0,0.8262100000865757,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#E65100,#FB8C00,#FFB74D,#FFF3E0,#0D47A1,#1E88E5,#000000,#E3F2FD,orange,blue,l_up,clr3,none,left,#64B5F6,#4DD0E1,#1E88E5,#64B5F6,#64B5F6,cyan,,,,,0,9,9,93,,,,left,1,0.865335600450635,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
