sequence	training_session.thisRepN	training_session.thisTrialN	training_session.thisN	training_session.thisIndex	training_2n.thisRepN	training_2n.thisTrialN	training_2n.thisN	training_2n.thisIndex	training_3n.thisRepN	training_3n.thisTrialN	training_3n.thisN	training_3n.thisIndex	training_4n.thisRepN	training_4n.thisTrialN	training_4n.thisN	training_4n.thisIndex	allrep_2nback.thisRepN	allrep_2nback.thisTrialN	allrep_2nback.thisN	allrep_2nback.thisIndex	trials_2nback.thisRepN	trials_2nback.thisTrialN	trials_2nback.thisN	trials_2nback.thisIndex	allrep_3nback.thisRepN	allrep_3nback.thisTrialN	allrep_3nback.thisN	allrep_3nback.thisIndex	trials_3nback.thisRepN	trials_3nback.thisTrialN	trials_3nback.thisN	trials_3nback.thisIndex	allrep_4nback.thisRepN	allrep_4nback.thisTrialN	allrep_4nback.thisN	allrep_4nback.thisIndex	trials_4nback.thisRepN	trials_4nback.thisTrialN	trials_4nback.thisN	trials_4nback.thisIndex	buffer02_txt.started	test_griddot_resp2.started	test_griddot_resp2.keys	buffer23_txt.started	test_griddot_resp3.started	test_griddot_resp3.keys	buffer34_txt.started	test_griddot_resp4.started	test_griddot_resp4.keys	confirm_resp.started	confirm_resp.keys	confirm_resp.rt	instr_text_2.started	buffer02_txt.stopped	griddot_resp2.started	griddot_resp2.keys	griddot_resp2.rt	griddot_resp3.started	griddot_resp3.keys	griddot_resp3.rt	griddot_resp4.started	griddot_resp4.keys	griddot_resp4.rt	participant	session	date	expName	psychopyVersion	frameRate	...71
[(0, 2), (2, 0), (0, 2), (2, 0), (1, 0), (0, 1), (0, 2), (2, 0)]	0	0	0	0	0	0	0	382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.221621899865568	27.3334774998948	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ped	001	2026-04-28_16h04.26.819	SS	2023.1.0	59.75750406640737	NA
[(2, 0), (2, 2), (0, 0), (0, 1), (0, 0), (2, 0), (0, 0), (0, 2)]	0	0	0	0	0	1	1	323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44.2659824998118	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ped	001	2026-04-28_16h04.26.819	SS	2023.1.0	59.75750406640737	NA
[(2, 0), (1, 1), (2, 0), (1, 1), (1, 1), (1, 0), (2, 2), (1, 2)]	0	0	0	0	0	2	2	466	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	61.278576700016856	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ped	001	2026-04-28_16h04.26.819	SS	2023.1.0	59.75750406640737	NA
[(0, 1), (0, 0), (1, 1), (0, 1), (2, 0), (0, 1), (0, 1), (1, 1), (2, 0)]	0	0	0	0	NA	NA	NA	NA	0	0	0	158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	78.21369299991056	82.2763099996373	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ped	001	2026-04-28_16h04.26.819	SS	2023.1.0	59.75750406640737	NA
[(0, 2), (2, 2), (2, 2), (1, 2), (2, 2), (2, 2), (1, 1), (0, 2), (2, 1)]	0	0	0	0	NA	NA	NA	NA	0	1	1	643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	101.28924539964646	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ped	001	2026-04-28_16h04.26.819	SS	2023.1.0	59.75750406640737	NA
[(2, 1), (1, 2), (0, 1), (2, 1), (2, 0), (1, 1), (2, 1), (0, 2), (0, 1)]	0	0	0	0	NA	NA	NA	NA	0	2	2	293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	120.30469579994678	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ped	001	2026-04-28_16h04.26.819	SS	2023.1.0	59.75750406640737	NA
[(0, 1), (2, 1), (1, 1), (2, 2), (0, 1), (0, 2), (0, 0), (2, 2), (2, 0), (1, 0)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	139.22126009967178	143.28584669996053	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ped	001	2026-04-28_16h04.26.819	SS	2023.1.0	59.75750406640737	NA
[(1, 2), (2, 0), (1, 1), (1, 1), (1, 2), (1, 1), (2, 0), (2, 1), (2, 0), (1, 1)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	164.26721049984917	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ped	001	2026-04-28_16h04.26.819	SS	2023.1.0	59.75750406640737	NA
[(1, 1), (0, 0), (2, 1), (0, 1), (0, 1), (0, 0), (2, 0), (1, 2), (0, 1), (2, 0)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	2	2	282	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	185.2785736997612	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ped	001	2026-04-28_16h04.26.819	SS	2023.1.0	59.75750406640737	NA
NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	205.2266196999699	y	10.234269400592892	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ped	001	2026-04-28_16h04.26.819	SS	2023.1.0	59.75750406640737	NA
