training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	arsal_train.thisRepN	arsal_train.thisTrialN	arsal_train.thisN	arsal_train.thisIndex	arsal_s2.thisRepN	arsal_s2.thisTrialN	arsal_s2.thisN	arsal_s2.thisIndex	arsal_s3.thisRepN	arsal_s3.thisTrialN	arsal_s3.thisN	arsal_s3.thisIndex	arsal_s4.thisRepN	arsal_s4.thisTrialN	arsal_s4.thisN	arsal_s4.thisIndex	blank.started	blank.stopped	matrix_resp.started	sequence	repeat_idx	matrix_resp.keys	trainconf.keys	trainconf.rt	matrix_resp.rt	matrix_resp_2.started	matrix_resp_2.keys	matrix_resp_2.rt	matrix_resp_3.started	matrix_resp_3.keys	matrix_resp_3.rt	byebye_text.started	participant	session	date	expName	psychopyVersion	frameRate
0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.0662733996287	21.599592300131917	21.599592300131917	[[(-1, 1, -1), (-1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -0.2, -1), (1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1)], [(-1, -1, 1), (1, 1, -1), (-1, 1, -1), (-1, -1, 1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1)], [(1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (-1, -1, 1), (1, -1, -1), (1, -1, -1), (1, -0.2, -1), (1, -1, -1), (1, -1, -1)], [(-1, 1, -1), (1, -1, -1), (-1, 1, -1), (-1, 1, -1), (1, -1, 1), (-1, 1, -1), (1, -1, -1), (1, -1, 1), (1, -1, -1)], [(1, -1, -1), (1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (-1, 1, -1), (1, -1, -1), (1, 1, -1), (1, -1, -1)], [(1, -0.2, -1), (1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1), (1, 1, -1), (1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1), (1, 1, -1)], [(1, -1, -1), (1, -1, -1), (1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, 1, -1), (-1, 1, -1)], [(1, -1, -1), (1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (-1, 1, -1), (1, -1, -1), (1, 1, -1), (1, -1, -1)]]	4	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aab	1	2026-06-01_12h21.22.365	CMT	2023.1.0	60.34868264609285
0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45.57937160041183	NA	NA	NA	NA	NA	['y']	[1.7652325993403792]	NA	NA	NA	NA	NA	NA	NA	NA	aab	1	2026-06-01_12h21.22.365	CMT	2023.1.0	60.34868264609285
NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	48.72915489971638	49.26236039958894	49.26236039958894	[[(1, -1, -1), (1, 1, -1), (-1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (-1, -1, 1)], [(1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, 1), (1, -1, 1), (1, 1, -1)], [(1, -1, -1), (1, -1, 1), (-1, 1, -1), (-1, 1, -1), (-1, 1, -1), (-1, 1, -1), (1, -1, -1), (1, -1, 1), (1, -1, 1)], [(1, -0.2, -1), (1, 1, -1), (1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (-1, 1, -1), (1, 1, -1), (1, -0.2, -1)], [(1, -1, 1), (1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (1, -1, 1), (1, -1, 1)], [(-1, 1, -1), (1, -1, -1), (1, -0.2, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, -0.2, -1), (1, -1, -1), (-1, -1, 1)], [(1, -0.2, -1), (1, -1, 1), (-1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (-1, -1, 1), (-1, -1, 1), (1, -0.2, -1)], [(1, -1, 1), (1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (1, -1, 1), (1, -1, 1)]]	4	['left', 'left', 'left', 'left', 'left', 'left', 'right']	NA	NA	[3.8355094995349646, 7.6888378001749516, 10.113042100332677, 13.071212999522686, 16.314481100067496, 19.162626300007105, 21.805833199992776]	NA	NA	NA	NA	NA	NA	NA	aab	1	2026-06-01_12h21.22.365	CMT	2023.1.0	60.34868264609285
NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	73.25889370031655	NA	73.77565569989383	[[(-1, 1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, 1), (-1, -1, 1), (-1, -1, 1), (1, -1, 1), (1, -1, -1)], [(1, -1, -1), (1, -1, 1), (1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, 1), (-1, 1, -1), (-1, 1, -1), (1, -1, 1)], [(1, -1, -1), (1, -1, -1), (1, -1, 1), (-1, -1, 1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, 1), (-1, -1, 1)], [(1, -1, -1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (-1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -1, -1)], [(-1, 1, -1), (-1, 1, -1), (1, -1, -1), (1, -0.2, -1), (-1, 1, -1), (1, -0.2, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1)], [(1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, 1), (-1, -1, 1), (1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, 1, -1)], [(1, -0.2, -1), (1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, -0.2, -1)], [(1, -1, -1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (-1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -1, -1)]]	3	['right', 'right', 'left', 'right', 'left', 'left', 'right']	NA	NA	[4.857138000428677, 7.138307699933648, 9.72051400039345, 13.181745500303805, 16.29498100001365, 19.74723380059004, 21.877407700754702]	NA	NA	NA	NA	NA	NA	NA	aab	1	2026-06-01_12h21.22.365	CMT	2023.1.0	60.34868264609285
NA	NA	NA	NA	NA	NA	NA	NA	2	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	97.7387717999518	NA	98.27217209991068	[[(-1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -0.2, -1), (1, 1, -1), (1, 1, -1), (1, -0.2, -1), (-1, 1, -1), (1, 1, -1)], [(-1, -1, 1), (1, -1, -1), (-1, 1, -1), (1, 1, -1), (1, -1, -1), (1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, -1, -1)], [(1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, 1), (-1, -1, 1), (1, -0.2, -1), (1, -1, 1), (1, -1, 1), (1, -0.2, -1)], [(1, -1, 1), (1, -1, 1), (1, -1, 1), (1, 1, -1), (1, 1, -1), (1, -1, 1), (1, 1, -1), (-1, -1, 1), (1, -1, 1)], [(-1, -1, 1), (1, -1, -1), (-1, 1, -1), (-1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, -1), (1, -1, 1), (-1, 1, -1)], [(-1, 1, -1), (-1, 1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1)], [(-1, -1, 1), (1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, -1), (-1, -1, 1), (1, -1, 1), (1, -1, -1), (1, -1, 1)], [(1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, 1), (-1, -1, 1), (1, -0.2, -1), (1, -1, 1), (1, -1, 1), (1, -0.2, -1)]]	2	['left', 'left', 'left', 'left', 'left', 'left', 'left']	NA	NA	[4.012402099557221, 6.782598700374365, 9.898833599872887, 13.106171499937773, 15.789247100241482, 18.83354469947517, 21.90472500026226]	NA	NA	NA	NA	NA	NA	NA	aab	1	2026-06-01_12h21.22.365	CMT	2023.1.0	60.34868264609285
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	122.23542959988116	NA	NA	[[(1, 1, -1), (1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (-1, -1, 1), (1, 1, -1), (1, -1, 1), (-1, -1, 1), (-1, 1, -1)], [(1, -0.2, -1), (1, 1, -1), (1, 1, -1), (1, -1, 1), (1, 1, -1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, -1, 1)], [(1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (1, 1, -1), (1, -1, -1), (1, -1, -1)], [(1, -0.2, -1), (1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, 1, -1), (1, -1, 1), (1, 1, -1), (1, -0.2, -1), (1, -0.2, -1)], [(-1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (-1, 1, -1)], [(1, -0.2, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, -1), (-1, 1, -1), (-1, 1, -1), (-1, -1, 1), (1, 1, -1), (1, 1, -1)], [(1, -0.2, -1), (1, -1, 1), (1, -1, 1), (1, -0.2, -1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -1, -1)], [(1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (1, 1, -1), (1, -1, -1), (1, -1, -1)]]	2	NA	NA	NA	NA	122.76863390021026	['right', 'left', 'left', 'right', 'left', 'left', 'left']	[4.370856599882245, 6.6423953007906675, 9.871849399991333, 12.683953000232577, 16.02632120065391, 18.70531910005957, 21.714870300143957]	NA	NA	NA	NA	aab	1	2026-06-01_12h21.22.365	CMT	2023.1.0	60.34868264609285
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	146.7653663996607	NA	NA	[[(-1, -1, 1), (1, -1, 1), (1, 1, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, 1, -1), (1, -1, 1), (1, 1, -1)], [(1, 1, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, -1, -1), (1, 1, -1)], [(-1, -1, 1), (1, 1, -1), (-1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (-1, 1, -1)], [(1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1), (-1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (-1, 1, -1), (1, -1, 1)], [(-1, 1, -1), (1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (1, -0.2, -1), (-1, 1, -1), (1, 1, -1), (1, -1, -1), (1, 1, -1)], [(1, 1, -1), (1, 1, -1), (-1, 1, -1), (-1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, -1, 1), (1, 1, -1)], [(1, -1, -1), (1, -1, -1), (1, -1, 1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, -1, 1), (1, -1, 1), (1, 1, -1)], [(1, 1, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, -1, -1), (1, 1, -1)]]	1	NA	NA	NA	NA	147.26530720014125	['right', 'left', 'left', 'right', 'left', 'right', 'right']	[3.8175376001745462, 6.547757499851286, 9.676076699979603, 13.291366399265826, 15.780938900075853, 18.81481140013784, 22.04683250002563]	NA	NA	NA	NA	aab	1	2026-06-01_12h21.22.365	CMT	2023.1.0	60.34868264609285
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	2	0	NA	NA	NA	NA	171.24515490047634	NA	NA	[[(-1, -1, 1), (-1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (1, 1, -1), (1, 1, -1), (-1, 1, -1), (1, -1, 1), (-1, -1, 1)], [(-1, -1, 1), (-1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, -0.2, -1), (1, -1, -1), (-1, 1, -1), (-1, 1, -1), (-1, -1, 1)], [(1, -0.2, -1), (-1, 1, -1), (1, -1, -1), (1, -1, 1), (-1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (1, -1, -1), (1, -0.2, -1)], [(-1, -1, 1), (1, -1, 1), (1, 1, -1), (-1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, -0.2, -1), (1, 1, -1), (1, -1, 1)], [(-1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, 1, -1), (1, -1, 1), (1, 1, -1), (-1, 1, -1), (1, 1, -1)], [(1, -1, -1), (1, 1, -1), (1, 1, -1), (1, -1, 1), (1, -1, 1), (1, 1, -1), (-1, 1, -1), (1, -1, -1), (-1, 1, -1)], [(1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (-1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, 1, -1)], [(-1, -1, 1), (-1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, -0.2, -1), (1, -1, -1), (-1, 1, -1), (-1, 1, -1), (-1, -1, 1)]]	1	NA	NA	NA	NA	171.7783599998802	['left', 'right', 'left', 'right', 'left', 'right', 'left']	[3.951226600445807, 7.055624300613999, 10.617740100249648, 13.293898900039494, 16.894281799905002, 18.925465400330722, 22.011670200154185]	NA	NA	NA	NA	aab	1	2026-06-01_12h21.22.365	CMT	2023.1.0	60.34868264609285
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	195.7583223003894	NA	NA	[[(1, -0.2, -1), (-1, -1, 1), (1, -1, 1), (-1, 1, -1), (-1, -1, 1), (1, -1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -1, 1)], [(1, -1, -1), (1, -0.2, -1), (1, 1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, -1, 1)], [(1, -1, -1), (1, -1, 1), (-1, 1, -1), (1, 1, -1), (-1, 1, -1), (1, -0.2, -1), (1, 1, -1), (1, -1, -1), (1, -0.2, -1)], [(1, -0.2, -1), (1, -0.2, -1), (1, -1, 1), (1, 1, -1), (1, -0.2, -1), (1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, -1)], [(1, -1, -1), (1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (1, -1, 1), (1, 1, -1), (1, -1, -1), (-1, -1, 1), (-1, 1, -1)], [(-1, -1, 1), (1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, 1), (1, -1, -1), (-1, 1, -1), (1, 1, -1)], [(-1, 1, -1), (1, -1, -1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (-1, 1, -1), (1, -1, -1), (1, -1, -1)], [(1, -1, -1), (1, -0.2, -1), (1, 1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, -1, 1)]]	1	NA	NA	NA	NA	NA	NA	NA	196.27525760047135	['right', 'left', 'right', 'right', 'left', 'left', 'right']	[3.894824099726975, 7.938200400210917, 10.460318299941719, 13.695552499964833, 17.262856800109148, 19.90513509977609, 22.951529799960554]	NA	aab	1	2026-06-01_12h21.22.365	CMT	2023.1.0	60.34868264609285
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	220.2383217997849	NA	NA	[[(-1, 1, -1), (1, -0.2, -1), (1, -1, 1), (1, -1, -1), (1, -0.2, -1), (1, 1, -1), (-1, 1, -1), (1, -0.2, -1), (1, -1, 1)], [(-1, 1, -1), (-1, -1, 1), (-1, -1, 1), (-1, 1, -1), (1, 1, -1), (1, -0.2, -1), (1, -1, -1), (1, -1, 1), (1, -1, -1)], [(1, -1, 1), (1, -1, 1), (1, -1, -1), (1, 1, -1), (1, -0.2, -1), (1, -1, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, -1)], [(1, 1, -1), (-1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (1, 1, -1), (1, 1, -1), (1, 1, -1)], [(1, -0.2, -1), (1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1), (-1, 1, -1), (1, -1, -1), (1, -0.2, -1), (1, 1, -1), (1, -1, -1)], [(1, 1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -1, 1), (1, -0.2, -1), (-1, 1, -1), (1, -1, 1), (1, -0.2, -1), (1, -1, 1)], [(-1, 1, -1), (1, -1, -1), (1, -0.2, -1), (1, -0.2, -1), (-1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, 1, -1), (-1, -1, 1)], [(1, 1, -1), (-1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (1, 1, -1), (1, 1, -1), (1, 1, -1)]]	3	NA	NA	NA	NA	NA	NA	NA	220.7715641995892	['right', 'right', 'left', 'left', 'left', 'left', 'right']	[4.824397900141776, 7.25004790071398, 10.124254600144923, 13.467542200349271, 16.829995300620794, 19.262411900795996, 21.826968100853264]	NA	aab	1	2026-06-01_12h21.22.365	CMT	2023.1.0	60.34868264609285
