sequence	training_session.thisRepN	training_session.thisTrialN	training_session.thisN	training_session.thisIndex	training_2n.thisRepN	training_2n.thisTrialN	training_2n.thisN	training_2n.thisIndex	training_3n.thisRepN	training_3n.thisTrialN	training_3n.thisN	training_3n.thisIndex	training_4n.thisRepN	training_4n.thisTrialN	training_4n.thisN	training_4n.thisIndex	allrep_2nback.thisRepN	allrep_2nback.thisTrialN	allrep_2nback.thisN	allrep_2nback.thisIndex	trials_2nback.thisRepN	trials_2nback.thisTrialN	trials_2nback.thisN	trials_2nback.thisIndex	allrep_3nback.thisRepN	allrep_3nback.thisTrialN	allrep_3nback.thisN	allrep_3nback.thisIndex	trials_3nback.thisRepN	trials_3nback.thisTrialN	trials_3nback.thisN	trials_3nback.thisIndex	allrep_4nback.thisRepN	allrep_4nback.thisTrialN	allrep_4nback.thisN	allrep_4nback.thisIndex	trials_4nback.thisRepN	trials_4nback.thisTrialN	trials_4nback.thisN	trials_4nback.thisIndex	buffer02_txt.started	test_griddot_resp2.started	test_griddot_resp2.keys	buffer23_txt.started	test_griddot_resp3.started	test_griddot_resp3.keys	buffer34_txt.started	test_griddot_resp4.started	test_griddot_resp4.keys	confirm_resp.started	confirm_resp.keys	confirm_resp.rt	instr_text_2.started	griddot_resp2.started	griddot_resp2.keys	griddot_resp2.rt	buffer23_txt.stopped	griddot_resp3.started	griddot_resp3.keys	griddot_resp3.rt	buffer34_txt.stopped	griddot_resp4.started	griddot_resp4.keys	griddot_resp4.rt	participant	session	date	expName	psychopyVersion	frameRate
[(1, 1), (2, 2), (1, 1), (0, 2), (1, 1), (1, 2), (0, 1), (0, 0)]	0	0	0	0	0	0	0	251	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49.94807959999889	54.04305629990995	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.524	SS	2023.1.0	60.1966504293597
[(2, 1), (1, 2), (1, 2), (0, 0), (1, 2), (0, 0), (1, 1), (1, 2)]	0	0	0	0	0	1	1	647	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	70.9908686997369	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.525	SS	2023.1.0	60.1966504293597
[(0, 2), (2, 2), (0, 0), (1, 0), (0, 0), (1, 1), (0, 0), (0, 2)]	0	0	0	0	0	2	2	610	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	88.02159779984504	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.526	SS	2023.1.0	60.1966504293597
[(0, 0), (2, 0), (0, 1), (0, 0), (2, 0), (0, 1), (1, 2), (1, 2), (1, 0)]	0	0	0	0	NA	NA	NA	NA	0	0	0	203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	104.9567985991016	109.00458299927412	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.527	SS	2023.1.0	60.1966504293597
[(2, 0), (0, 1), (0, 0), (2, 0), (0, 1), (2, 0), (1, 0), (0, 1), (2, 1)]	0	0	0	0	NA	NA	NA	NA	0	1	1	562	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	128.00240259990096	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.528	SS	2023.1.0	60.1966504293597
[(0, 2), (1, 2), (2, 2), (0, 2), (1, 2), (0, 1), (0, 0), (2, 1), (1, 2)]	0	0	0	0	NA	NA	NA	NA	0	2	2	174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	146.99990869965404	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.529	SS	2023.1.0	60.1966504293597
[(0, 1), (2, 0), (0, 1), (1, 1), (0, 0), (2, 0), (0, 1), (1, 0), (0, 0), (1, 2)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	577	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	165.96085929963738	170.02701929956677	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.530	SS	2023.1.0	60.1966504293597
[(1, 0), (1, 1), (0, 2), (0, 0), (2, 2), (1, 1), (0, 2), (0, 1), (1, 2), (2, 1)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	562	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	191.02381849940863	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.531	SS	2023.1.0	60.1966504293597
[(1, 0), (1, 0), (2, 1), (2, 2), (1, 1), (1, 0), (1, 0), (2, 2), (2, 2), (0, 1)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	2	2	230	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	212.0218792995438	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.532	SS	2023.1.0	60.1966504293597
NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	231.9514033999294	y	18.788355601020157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.533	SS	2023.1.0	60.1966504293597
