imagefile	stimfile	corrAns	MRdir	angle	training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	mentalrot_trials.thisRepN	mentalrot_trials.thisTrialN	mentalrot_trials.thisN	mentalrot_trials.thisIndex	blank.started	mr_answ_2.started	mr_answ_2.keys	mr_answ_2.corr	mr_answ_2.rt	blank.stopped	mr_answ.started	mr_answ.keys	mr_answ.corr	mr_answ.rt	byebye_text.started	byebye_text.stopped	participant	session	date	expName	psychopyVersion	frameRate	0
mr_images/1_a.png	mr_images/1_a_z_270.png	left	ccw	90	0	0	0	7	NA	NA	NA	NA	82.05425120005384	82.60371970012784	None	0	NA	NA	NA	NA	NA	NA	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0
mr_images/3_b.png	mr_images/3_a_z_135.png	right	cw	135	0	1	1	92	NA	NA	NA	NA	87.50533290021122	88.06965450011194	right	1	2.0945387999527156	NA	NA	NA	NA	NA	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0
mr_images/6_b.png	mr_images/6_a_z_90.png	right	cw	90	0	2	2	160	NA	NA	NA	NA	90.1859897999093	90.76928569981828	right	1	2.8107845997437835	90.76928569981828	NA	NA	NA	NA	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0
mr_images/3_a.png	mr_images/3_b_z_225.png	right	ccw	135	0	3	3	82	NA	NA	NA	NA	93.60229460010304	94.18600470013916	left	0	2.3167232000268996	94.18600470013916	NA	NA	NA	NA	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0
mr_images/7_b.png	mr_images/7_b_z_225.png	left	ccw	135	0	4	4	191	NA	NA	NA	NA	96.53519249986856	97.11849260004236	left	1	2.071525199804455	97.11849260004236	NA	NA	NA	NA	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0
mr_images/9_b.png	mr_images/9_b_z_315.png	left	ccw	45	NA	NA	NA	NA	0	65	65	207	475.9659510999918	NA	NA	NA	NA	476.4990632999688	476.4990632999688	right	0	3,71475049768924	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0,232806838466786
mr_images/11_b.png	mr_images/11_a_z_135.png	right	cw	135	NA	NA	NA	NA	0	99	99	44	270.0279141999781	NA	NA	NA	NA	270.59431090019643	270.59431090019643	left	1	3,33489027878386	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0,566273664007895
mr_images/12_b.png	mr_images/12_a_z_270.png	right	ccw	90	NA	NA	NA	NA	0	30	30	66	843.5814462997951	NA	NA	NA	NA	844.1158519000746	844.1158519000746	left	1	2,04914954825653	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0,325208823545836
mr_images/7_a.png	mr_images/7_a_z_315.png	left	ccw	45	NA	NA	NA	NA	0	51	51	171	747.01593639981	NA	NA	NA	NA	747.5659177000634	747.5659177000634	right	1	3,06040746186045	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0,2294952532975
mr_images/6_a.png	mr_images/6_b_z_225.png	right	ccw	135	NA	NA	NA	NA	0	149	149	154	441.7914553000592	NA	NA	NA	NA	442.3538118000142	442.3538118000142	left	0	2,41912275986397	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0,610374886891805
mr_images/5_b.png	mr_images/5_a_z_315.png	right	ccw	45	NA	NA	NA	NA	0	42	42	134	150.4609790001996	NA	NA	NA	NA	151.02754819998518	151.02754819998518	left	1	2,89309468123247	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0,630133114638738
mr_images/4_a.png	mr_images/4_b_z_315.png	right	ccw	45	NA	NA	NA	NA	0	184	184	98	316.3047889000736	NA	NA	NA	NA	316.8379919999279	316.8379919999279	left	0	1,5978385740018	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0,216139362775721
mr_images/6_b.png	mr_images/6_b_z_45.png	left	cw	45	NA	NA	NA	NA	0	53	53	157	161.50947829987854	NA	NA	NA	NA	162.05937109980732	162.05937109980732	None	1	0,064578741992591	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0,121706118457951
mr_images/4_b.png	mr_images/4_b_z_315.png	left	ccw	45	NA	NA	NA	NA	0	167	167	111	209.4695581998676	NA	NA	NA	NA	210.0528167001903	210.0528167001903	right	1	3,16394546293305	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0,999741849140264
mr_images/6_b.png	mr_images/6_a_z_45.png	right	cw	45	NA	NA	NA	NA	0	105	105	156	460.667961999774	NA	NA	NA	NA	461.20119989989325	461.20119989989325	left	0	2,56952649707092	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0,454868385451846
mr_images/5_b.png	mr_images/5_b_z_315.png	left	ccw	45	NA	NA	NA	NA	0	61	61	135	217.5184758999385	NA	NA	NA	NA	218.0849760998972	218.0849760998972	right	1	4,77362693366013	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0,538805631338619
mr_images/9_b.png	mr_images/9_b_z_45.png	left	cw	45	NA	NA	NA	NA	0	71	71	205	203.7369539001957	NA	NA	NA	NA	204.3035865998827	204.3035865998827	right	1	4,00203236503876	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0,460779784596525
mr_images/5_a.png	mr_images/5_a_z_315.png	left	ccw	45	NA	NA	NA	NA	0	152	152	123	772.0747588998638	NA	NA	NA	NA	772.6107394997962	772.6107394997962	right	0	3,30842022583237	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0,999833060312085
mr_images/12_a.png	mr_images/12_a_z_45.png	left	cw	45	NA	NA	NA	NA	0	165	165	49	525.62557129981	NA	NA	NA	NA	526.1588115999475	526.1588115999475	right	1	4,15244201003225	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0,285475175711326
mr_images/1_b.png	mr_images/1_b_z_135.png	left	cw	135	NA	NA	NA	NA	0	21	21	21	176.074130800087	NA	NA	NA	NA	176.64077679999173	176.64077679999173	left	1	0,0923832804255651	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0,473173440084793
mr_images/11_a.png	mr_images/11_b_z_315.png	right	ccw	45	NA	NA	NA	NA	0	46	46	26	708.0170848998241	NA	NA	NA	NA	708.5721558001824	708.5721558001824	left	0	3,16175015157205	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0,272351211751811
mr_images/11_a.png	mr_images/11_b_z_90.png	right	cw	90	NA	NA	NA	NA	0	27	27	28	660.4901854000054	NA	NA	NA	NA	661.0234091999009	661.0234091999009	left	1	3,02513619113597	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0,274353300803341
mr_images/5_a.png	mr_images/5_b_z_315.png	right	ccw	45	NA	NA	NA	NA	0	54	54	122	832.9329071999528	NA	NA	NA	NA	833.4662095000967	833.4662095000967	left	0	3,41866537861643	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0,0682705183280632
mr_images/12_a.png	mr_images/12_b_z_225.png	right	ccw	135	NA	NA	NA	NA	0	195	195	58	103.9676378997974	NA	NA	NA	NA	104.55077880015595	104.55077880015595	left	0	3,10922427175683	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0,680443984339945
mr_images/6_a.png	mr_images/6_a_z_315.png	left	ccw	45	NA	NA	NA	NA	0	1	1	147	199.870756899938	NA	NA	NA	NA	200.4374867998995	200.4374867998995	right	1	3,2641956784355	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0,522360148956068
mr_images/3_b.png	mr_images/3_a_z_135.png	right	cw	135	NA	NA	NA	NA	0	70	70	92	632.415036899969	NA	NA	NA	NA	632.9439761000685	632.9439761000685	left	1	2,3992954264686	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0,17889190337155
mr_images/12_b.png	mr_images/12_b_z_225.png	left	ccw	135	NA	NA	NA	NA	0	87	87	71	300.773475300055	NA	NA	NA	NA	301.3112924997695	301.3112924997695	right	1	3,64281011119602	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0,044547479483299
mr_images/5_a.png	mr_images/5_b_z_225.png	right	ccw	135	NA	NA	NA	NA	0	127	127	130	294.64104419993237	NA	NA	NA	NA	295.174302500207	295.174302500207	left	0	2,74729632612435	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0,190958162187599
mr_images/1_a.png	mr_images/1_a_z_45.png	left	cw	45	NA	NA	NA	NA	0	197	197	1	775.8784567001276	NA	NA	NA	NA	776.4074232000858	776.4074232000858	right	0	3,55907966251835	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0,657789419987239
mr_images/5_a.png	mr_images/5_b_z_90.png	right	cw	90	NA	NA	NA	NA	0	163	163	124	189.0766555997543	NA	NA	NA	NA	189.65738639980555	189.65738639980555	left	0	3,75108583815745	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0,223146369797178
mr_images/1_a.png	mr_images/1_a_z_225.png	left	ccw	135	NA	NA	NA	NA	0	201	201	11	600.9650908000767	NA	NA	NA	NA	601.498427500017	601.498427500017	right	1	3,95668570950511	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0,266957783023827
mr_images/6_b.png	mr_images/6_a_z_315.png	right	ccw	45	NA	NA	NA	NA	0	12	12	158	827.1003747000359	NA	NA	NA	NA	827.6335857999511	827.6335857999511	left	0	2,23894877461135	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0,495189463137649
mr_images/5_b.png	mr_images/5_a_z_45.png	right	cw	45	NA	NA	NA	NA	0	180	180	132	619.4625205001794	NA	NA	NA	NA	NA	619.9969832999632	right	1	2,30787044987664	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0,807565044728108
mr_images/3_a.png	mr_images/3_a_z_135.png	left	cw	135	NA	NA	NA	NA	0	94	94	81	565.3868085001595	NA	NA	NA	NA	565.9265688001178	565.9265688001178	right	0	3,74032169926795	NA	NA	aae	1	2026-06-01_20h05.20.165	MR	2023.1.0	59.99876408589627	0,326418248121627
