sequence	training_session.thisRepN	training_session.thisTrialN	training_session.thisN	training_session.thisIndex	training_2n.thisRepN	training_2n.thisTrialN	training_2n.thisN	training_2n.thisIndex	training_3n.thisRepN	training_3n.thisTrialN	training_3n.thisN	training_3n.thisIndex	training_4n.thisRepN	training_4n.thisTrialN	training_4n.thisN	training_4n.thisIndex	allrep_2nback.thisRepN	allrep_2nback.thisTrialN	allrep_2nback.thisN	allrep_2nback.thisIndex	trials_2nback.thisRepN	trials_2nback.thisTrialN	trials_2nback.thisN	trials_2nback.thisIndex	allrep_3nback.thisRepN	allrep_3nback.thisTrialN	allrep_3nback.thisN	allrep_3nback.thisIndex	trials_3nback.thisRepN	trials_3nback.thisTrialN	trials_3nback.thisN	trials_3nback.thisIndex	allrep_4nback.thisRepN	allrep_4nback.thisTrialN	allrep_4nback.thisN	allrep_4nback.thisIndex	trials_4nback.thisRepN	trials_4nback.thisTrialN	trials_4nback.thisN	trials_4nback.thisIndex	buffer02_txt.started	test_griddot_resp2.started	test_griddot_resp2.keys	test_griddot_resp2.rt	buffer23_txt.started	test_griddot_resp3.started	test_griddot_resp3.keys	buffer34_txt.started	test_griddot_resp4.started	test_griddot_resp4.keys	confirm_resp.started	confirm_resp.keys	confirm_resp.rt	instr_text_2.started	buffer02_txt.stopped	griddot_resp2.started	griddot_resp2.keys	griddot_resp2.rt	griddot_resp3.started	griddot_resp3.keys	griddot_resp3.rt	griddot_resp4.started	griddot_resp4.keys	griddot_resp4.rt	participant	session	date	expName	psychopyVersion	frameRate
[(1, 2), (2, 0), (2, 2), (2, 0), (0, 1), (1, 0), (0, 1), (2, 2)]	0	0	0	0	0	0	0	687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51.4350057002157	55.53481310000643	['left', 'left']	[4.535742299631238, 6.85327610000968]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aae	1	2026-06-01_11h19.32.98	SS	2023.1.0	59.16421076384735
[(1, 1), (1, 2), (1, 1), (0, 2), (1, 1), (1, 2), (1, 0), (1, 0)]	0	0	0	0	0	1	1	495	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	72.53256910014898	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aae	1	2026-06-01_11h19.32.98	SS	2023.1.0	59.16421076384735
[(2, 0), (1, 2), (2, 0), (1, 1), (2, 0), (2, 2), (0, 1), (1, 2)]	0	0	0	0	0	2	2	525	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.49875820009038	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aae	1	2026-06-01_11h19.32.98	SS	2023.1.0	59.16421076384735
[(1, 2), (1, 1), (1, 1), (2, 1), (1, 1), (2, 0), (2, 1), (2, 2), (2, 2)]	0	0	0	0	NA	NA	NA	NA	0	0	0	394	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	106.43127490021288	110.49418359994888	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aae	1	2026-06-01_11h19.32.98	SS	2023.1.0	59.16421076384735
[(2, 2), (2, 1), (2, 1), (1, 0), (0, 2), (0, 2), (2, 0), (0, 2), (0, 2)]	0	0	0	0	NA	NA	NA	NA	0	1	1	421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	129.51009540027007	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aae	1	2026-06-01_11h19.32.98	SS	2023.1.0	59.16421076384735
[(0, 2), (2, 1), (0, 1), (2, 2), (2, 1), (1, 2), (1, 0), (2, 1), (2, 2)]	0	0	0	0	NA	NA	NA	NA	0	2	2	528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	148.45600550016388	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aae	1	2026-06-01_11h19.32.98	SS	2023.1.0	59.16421076384735
[(2, 2), (2, 2), (1, 1), (2, 1), (2, 2), (2, 2), (1, 2), (0, 1), (2, 1), (1, 0)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	426	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	167.43851670017466	171.50478560011834	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aae	1	2026-06-01_11h19.32.98	SS	2023.1.0	59.16421076384735
[(1, 2), (2, 2), (2, 1), (0, 1), (1, 2), (1, 1), (0, 2), (0, 0), (1, 2), (2, 1)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	403	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	192.51748500019312	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aae	1	2026-06-01_11h19.32.98	SS	2023.1.0	59.16421076384735
[(1, 0), (1, 1), (0, 2), (1, 2), (1, 0), (2, 1), (2, 0), (0, 1), (1, 0), (0, 0)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	2	2	560	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	213.47977600013837	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aae	1	2026-06-01_11h19.32.98	SS	2023.1.0	59.16421076384735
NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	233.42583870003	y	6.584214899688959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aae	1	2026-06-01_11h19.32.98	SS	2023.1.0	59.16421076384735
[(1, 0), (1, 0), (1, 0), (2, 0), (1, 1), (2, 0), (1, 1), (2, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	265.9382353001274	['right', 'left', 'left', 'right', 'right', 'right']	[5.059959499631077, 6.646261699963361, 8.541945099830627, 10.420493199955672, 12.507518499623984, 14.657859299797565]	NA	NA	NA	NA	NA	NA	aae	1	2026-06-01_11h19.32.98	SS	2023.1.0	59.16421076384735
[(1, 0), (2, 2), (2, 2), (0, 1), (2, 2), (0, 2), (2, 1), (0, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	1	189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	333.9469540002756	['left', 'left', 'right', 'left', 'left', 'right']	[4.536473999731243, 6.464347999542952, 8.337604799773544, 10.612096099648625, 12.843764099758118, 14.601546499878168]	NA	NA	NA	NA	NA	NA	aae	1	2026-06-01_11h19.32.98	SS	2023.1.0	59.16421076384735
[(1, 2), (1, 2), (1, 2), (0, 1), (0, 1), (0, 2), (0, 1), (0, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	2	2	519	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	282.9527778001502	['left', 'left', 'right', 'left', 'right', 'left']	[4.600258299615234, 6.566995199769735, 8.729596699588, 10.88209699979052, 12.501102399546653, 14.666510799899697]	NA	NA	NA	NA	NA	NA	aae	1	2026-06-01_11h19.32.98	SS	2023.1.0	59.16421076384735
[(2, 0), (0, 1), (2, 2), (2, 0), (1, 1), (2, 1), (1, 1), (2, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	3	3	416	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	244.8784468001686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	240.0299843000248	247.95759329991415	248.94185629999265	['left', 'right', 'left', 'left', 'right', 'left']	[4.602135099470615, 6.6990786995738745, 8.64261919958517, 10.51565059972927, 12.583467999473214, 14.486913199536502]	NA	NA	NA	NA	NA	NA	aae	1	2026-06-01_11h19.32.98	SS	2023.1.0	59.16421076384735
[(2, 0), (1, 0), (0, 1), (0, 1), (0, 0), (0, 1), (0, 0), (0, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	4	4	412	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	316.9313668999821	['left', 'left', 'left', 'right', 'right', 'left']	[4.87970419973135, 6.551655799616128, 8.559991599991918, 10.498137299902737, 12.519159199669957, 14.695741399656981]	NA	NA	NA	NA	NA	NA	aae	1	2026-06-01_11h19.32.98	SS	2023.1.0	59.16421076384735
[(2, 0), (1, 2), (2, 1), (1, 2), (2, 1), (1, 2), (2, 1), (1, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	5	5	640	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	299.9326843000017	['left', 'left', 'right', 'right', 'right', 'left']	[4.619810799602419, 6.633014899678528, 8.703722299542278, 10.685104299802333, 12.666790899820626, 14.688967099878937]	NA	NA	NA	NA	NA	NA	aae	1	2026-06-01_11h19.32.98	SS	2023.1.0	59.16421076384735
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aae	1	2026-06-01_11h19.32.98	SS	2023.1.0	59.16421076384735
[(2, 2), (2, 0), (2, 2), (0, 0), (2, 2), (2, 2), (0, 2), (2, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	0	0	461	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	352.57680559996516	['left', 'left', 'left', 'left', 'left', 'left']	[4.850490599870682, 6.485382799990475, 9.459211899898946, 11.313545599579811, 13.243046499788761, 14.740215399768203]	NA	NA	NA	NA	NA	NA	aae	1	2026-06-01_11h19.32.98	SS	2023.1.0	59.16421076384735
[(0, 1), (1, 1), (2, 2), (2, 0), (0, 1), (2, 0), (0, 1), (2, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	1	1	314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	369.524073000066	['left', 'left', 'right', 'left', 'right', 'left', 'left']	[4.850973199587315, 6.726298899389803, 9.083652099594474, 10.620028299745172, 12.752473199740052, 14.578754799440503]	NA	NA	NA	NA	NA	NA	aae	1	2026-06-01_11h19.32.98	SS	2023.1.0	59.16421076384735
