training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	arsal_train.thisRepN	arsal_train.thisTrialN	arsal_train.thisN	arsal_train.thisIndex	arsal_s2.thisRepN	arsal_s2.thisTrialN	arsal_s2.thisN	arsal_s2.thisIndex	arsal_s3.thisRepN	arsal_s3.thisTrialN	arsal_s3.thisN	arsal_s3.thisIndex	arsal_s4.thisRepN	arsal_s4.thisTrialN	arsal_s4.thisN	arsal_s4.thisIndex	blank.started	matrix_resp.started	sequence	repeat_idx	matrix_resp.keys	matrix_resp.rt	trainconf.keys	trainconf.rt	blank.stopped	matrix_resp_2.started	matrix_resp_2.keys	matrix_resp_2.rt	matrix_resp_3.started	matrix_resp_3.keys	matrix_resp_3.rt	byebye_text.started	participant	session	date	expName	psychopyVersion	frameRate
0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	116.67848209990188	117.21167280012742	[[(-1, 1, -1), (1, -1, 1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (-1, -1, 1), (1, -1, 1), (1, -1, -1), (1, -1, 1)], [(-1, -1, 1), (-1, 1, -1), (1, -1, -1), (1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (-1, -1, 1)], [(1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, -1, 1)], [(1, 1, -1), (-1, 1, -1), (-1, 1, -1), (1, -0.2, -1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1)], [(1, -1, -1), (-1, -1, 1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, 1, -1), (1, 1, -1)], [(-1, -1, 1), (1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (-1, 1, -1), (1, -1, -1)], [(-1, 1, -1), (-1, 1, -1), (-1, -1, 1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1)], [(-1, -1, 1), (-1, 1, -1), (1, -1, -1), (1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (-1, -1, 1)]]	1	['left', 'left']	[5.580802800133824, 9.1099384999834]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_13h23.14.043	CMT	2023.1.0	59.98587920254737
0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	141.19170030020177	NA	NA	NA	NA	NA	['n']	[25.086257899645716]	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_13h23.14.043	CMT	2023.1.0	59.98587920254737
1	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	166.78806470008567	167.32137650018558	[[(1, -1, 1), (1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, -1, 1), (1, -1, -1), (1, -1, -1), (1, -1, 1)], [(-1, 1, -1), (1, -1, 1), (1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (-1, -1, 1), (-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1)], [(1, -1, 1), (-1, -1, 1), (1, 1, -1), (1, 1, -1), (1, -1, 1), (1, -1, 1), (1, 1, -1), (-1, 1, -1), (-1, 1, -1)], [(1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, -1, -1), (-1, 1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, -1), (1, -1, 1)], [(1, -1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (-1, 1, -1), (1, -1, -1), (1, -0.2, -1), (-1, 1, -1)], [(1, 1, -1), (1, 1, -1), (-1, 1, -1), (-1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1)], [(1, 1, -1), (1, -1, -1), (1, -1, -1), (1, 1, -1), (1, -1, -1), (1, 1, -1), (-1, -1, 1), (1, 1, -1), (1, 1, -1)], [(-1, 1, -1), (1, -1, 1), (1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (-1, -1, 1), (-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1)]]	1	['left', 'left', 'right', 'left', 'left', 'left', 'left']	[4.973760299850255, 7.611262300051749, 11.254703799728304, 14.067220099736005, 16.684552500024438, 20.00392369972542, 22.910424700006843]	NA	NA	167.32137650018558	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_13h23.14.043	CMT	2023.1.0	59.98587920254737
1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	191.30140340002256	NA	NA	NA	NA	NA	['y']	[3.0059762997552752]	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_13h23.14.043	CMT	2023.1.0	59.98587920254737
NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	211.44865689985457	211.98675510007888	[[(-1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, 1), (-1, 1, -1), (1, -1, 1), (-1, 1, -1), (1, 1, -1), (1, -1, 1)], [(-1, -1, 1), (1, -1, -1), (1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, -1), (1, -1, -1)], [(1, -1, -1), (1, -1, -1), (1, -1, -1), (1, -1, 1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1)], [(1, 1, -1), (-1, -1, 1), (-1, -1, 1), (1, -1, -1), (1, 1, -1), (1, 1, -1), (1, -1, -1), (1, -1, -1), (-1, -1, 1)], [(-1, -1, 1), (1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, 1, -1), (-1, -1, 1), (1, 1, -1), (1, 1, -1), (1, -0.2, -1)], [(1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1), (-1, 1, -1), (1, -0.2, -1), (1, -1, -1), (1, -1, -1), (1, -0.2, -1), (1, -1, -1)], [(1, 1, -1), (1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, 1, -1), (1, -1, 1), (-1, 1, -1), (1, 1, -1), (-1, 1, -1)], [(-1, -1, 1), (1, -1, -1), (1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, -1), (1, -1, -1)]]	1	['left', 'right', 'left', 'left', 'left', 'right', 'left']	[5.8909906996414065, 7.195276099722832, 12.273934599943459, 13.927096199709922, 17.40855439985171, 19.94881649967283, 23.270925299730152]	NA	NA	211.98675510007888	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_13h23.14.043	CMT	2023.1.0	59.98587920254737
NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	235.96167200012133	236.49717839993536	[[(1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, 1), (1, -1, 1), (1, -0.2, -1), (-1, 1, -1), (1, -1, 1)], [(-1, 1, -1), (1, -0.2, -1), (1, -1, 1), (1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (-1, 1, -1), (-1, 1, -1), (-1, -1, 1)], [(1, -0.2, -1), (1, -1, 1), (1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1), (1, -1, 1), (1, -0.2, -1)], [(1, -1, -1), (-1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1)], [(1, -1, 1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (-1, 1, -1)], [(-1, -1, 1), (-1, 1, -1), (-1, 1, -1), (1, -1, 1), (1, -1, 1), (1, 1, -1), (1, -1, 1), (1, -1, 1), (-1, -1, 1)], [(-1, 1, -1), (1, -1, 1), (1, -1, 1), (-1, 1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -1, 1), (-1, -1, 1), (1, -0.2, -1)], [(-1, 1, -1), (1, -0.2, -1), (1, -1, 1), (1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (-1, 1, -1), (-1, 1, -1), (-1, -1, 1)]]	1	['right', 'right', 'left', 'left', 'left', 'right', 'right']	[5.6486308998428285, 8.04987599980086, 10.114261799491942, 13.208513599820435, 17.551008799578995, 20.263165899552405, 23.11690179957077]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_13h23.14.043	CMT	2023.1.0	59.98587920254737
NA	NA	NA	NA	NA	NA	NA	NA	2	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	260.45837990008295	260.9914303999394	[[(1, -1, 1), (-1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, -1, 1), (1, -1, 1)], [(1, -1, -1), (1, -1, -1), (1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, 1), (1, -1, -1), (1, -1, -1), (1, -1, -1)], [(1, -0.2, -1), (1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (1, -1, -1), (1, -1, -1), (1, -0.2, -1), (1, -1, -1), (-1, 1, -1)], [(1, -0.2, -1), (-1, 1, -1), (-1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (-1, 1, -1), (1, -0.2, -1), (1, -1, -1)], [(1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -0.2, -1), (1, -1, 1), (1, -1, 1), (-1, -1, 1), (-1, -1, 1), (1, -1, 1)], [(-1, 1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (-1, 1, -1)], [(1, 1, -1), (1, 1, -1), (-1, -1, 1), (-1, -1, 1), (1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1)], [(1, -0.2, -1), (1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (1, -1, -1), (1, -1, -1), (1, -0.2, -1), (1, -1, -1), (-1, 1, -1)]]	2	['left', 'left', 'left', 'left', 'right', 'left', 'left']	[3.89211199991405, 7.294895199593157, 10.409563699737191, 13.311413399875164, 16.65827399957925, 19.901725399773568, 22.311816499568522]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_13h23.14.043	CMT	2023.1.0	59.98587920254737
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	284.95918360026553	NA	[[(1, 0.5, -1), (-1, -1, 1), (1, 0.5, -1), (-1, 1, -1), (1, -1, -1), (1, 0.5, -1), (1, -1, -1), (-1, -1, 1), (-1, -1, 1)], [(1, -1, 1), (1, 0.5, -1), (1, -1, 1), (-1, -1, 1), (-1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, 0.5, -1), (-1, 1, -1)], [(1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, -1, -1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, 1)], [(1, -1, 1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (-1, -1, 1), (1, -1, 1), (1, 0.5, -1), (-1, -1, 1)], [(1, -1, -1), (1, -1, 1), (-1, 1, -1), (1, -1, -1), (-1, 1, -1), (1, -1, -1), (1, 0.5, -1), (1, 0.5, -1), (1, -1, -1)], [(-1, 1, -1), (1, 0.5, -1), (-1, 1, -1), (1, -1, 1), (1, 0.5, -1), (-1, -1, 1), (1, 0.5, -1), (1, 0.5, -1), (-1, -1, 1)], [(-1, 1, -1), (1, 1, -1), (-1, 1, -1), (1, -1, -1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, -1), (1, -1, 1)], [(1, -1, 1), (1, 0.5, -1), (1, -1, 1), (-1, -1, 1), (-1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, 0.5, -1), (-1, 1, -1)]]	1	NA	NA	NA	NA	NA	285.48830060008913	['right', 'left', 'left', 'right', 'left', 'right', 'left']	[6.132795899640769, 8.375149099621922, 10.802335399668664, 13.730907599907368, 16.300289999693632, 19.290936099831015, 23.24033459974453]	NA	NA	NA	NA	aaf	1	2026-06-01_13h23.14.043	CMT	2023.1.0	59.98587920254737
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	309.4849709998816	NA	[[(1, -1, -1), (-1, 1, -1), (-1, -1, 1), (1, -1, -1), (1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, 1, -1), (-1, -1, 1)], [(1, 0.5, -1), (1, -1, 1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, -1, 1), (-1, -1, 1), (1, 0.5, -1)], [(1, 0.5, -1), (-1, 1, -1), (1, 1, -1), (1, 0.5, -1), (-1, 1, -1), (1, 0.5, -1), (-1, -1, 1), (1, 0.5, -1), (1, 0.5, -1)], [(1, -1, 1), (1, 1, -1), (-1, -1, 1), (1, 0.5, -1), (1, 0.5, -1), (-1, 1, -1), (1, 1, -1), (1, -1, 1), (1, 1, -1)], [(1, 1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, 1), (1, 1, -1), (1, -1, 1), (1, 1, -1), (1, -1, -1)], [(1, 1, -1), (-1, -1, 1), (1, -1, 1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (-1, -1, 1), (1, 1, -1)], [(1, -1, -1), (1, 0.5, -1), (-1, 1, -1), (1, 0.5, -1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, -1, -1), (1, 0.5, -1)], [(1, 1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, 1), (1, 1, -1), (1, -1, 1), (1, 1, -1), (1, -1, -1)]]	4	NA	NA	NA	NA	NA	309.98479350004345	['left', 'left', 'left', 'left', 'left', 'right', 'right']	[4.213231300003827, 7.845582399982959, 10.705300999805331, 14.858710799831897, 17.10780500015244, 19.36837159981951, 22.684111299924552]	NA	NA	NA	NA	aaf	1	2026-06-01_13h23.14.043	CMT	2023.1.0	59.98587920254737
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	2	0	NA	NA	NA	NA	333.98147040000185	NA	[[(-1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, -1), (1, 0.5, -1), (1, -1, -1), (1, 0.5, -1), (1, 0.5, -1), (1, 0.5, -1)], [(1, 1, -1), (1, 1, -1), (1, -1, 1), (1, -1, 1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (-1, 1, -1), (-1, 1, -1)], [(-1, -1, 1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, 0.5, -1), (1, -1, -1), (1, -1, -1), (1, -1, 1), (1, 0.5, -1)], [(1, 0.5, -1), (1, 0.5, -1), (-1, -1, 1), (1, -1, -1), (-1, -1, 1), (-1, -1, 1), (-1, -1, 1), (1, -1, 1), (1, 0.5, -1)], [(1, -1, -1), (1, -1, -1), (1, 1, -1), (1, 0.5, -1), (1, -1, -1), (1, 1, -1), (1, 0.5, -1), (-1, -1, 1), (1, -1, -1)], [(-1, 1, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, 0.5, -1), (1, 0.5, -1), (1, 0.5, -1), (-1, 1, -1)], [(1, 0.5, -1), (1, 0.5, -1), (1, -1, 1), (-1, -1, 1), (1, 0.5, -1), (1, -1, 1), (1, -1, -1), (-1, -1, 1), (1, -1, -1)], [(1, 0.5, -1), (1, 0.5, -1), (-1, -1, 1), (1, -1, -1), (-1, -1, 1), (-1, -1, 1), (-1, -1, 1), (1, -1, 1), (1, 0.5, -1)]]	3	NA	NA	NA	NA	NA	334.51486829994246	['left', 'right', 'right', 'left', 'left', 'right', 'right']	[4.87045449949801, 7.708696799352765, 10.93240339960903, 13.859960399568081, 16.632580699399114, 20.100735599640757, 22.754097799770534]	NA	NA	NA	NA	aaf	1	2026-06-01_13h23.14.043	CMT	2023.1.0	59.98587920254737
