clr1p1	clr2p1	clr3p1	clr4p1	clr1p2	clr2p2	clr3p2	clr4p2	Hshow	Htest	stim_var	blank_clr	difficulty	answ	l_test	r_test	realclr2	realclr3	realclr	training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	CC_resp_2.keys	CC_resp_2.corr	CC_resp_2.rt	CC_resp.keys	CC_resp.corr	CC_resp.rt	participant	session	date	expName	psychopyVersion	frameRate
#5E35B1	#311B92	#EDE7F6	#9575CD	#6D4C41	#3E2723	#000000	#A1887F	d_purple	brown	l_rand1	clr3	low	left	#EFEBE9	#BCAAA4	#3E2723	#EFEBE9	#EFEBE9	0	0	0	35	NA	NA	NA	NA	None	0	NA	NA	NA	NA	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#00897B	#004D40	#E0F2F1	#4DB6AC	#FFB300	#000000	#FFF8E1	#FFD54F	teal	amber	l_rand1	clr2	low	right	#FFA000	#FF6F00	#FF6F00	#FFF8E1	#FF6F00	0	1	1	27	NA	NA	NA	NA	None	0	NA	NA	NA	NA	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#01579B	#039BE5	#4FC3F7	#E1F5FE	#F57F17	#FDD835	#000000	#FFFDE7	l_blue	yellow	l_up	clr3	high	left	#FFF176	#FFEE58	#FDD835	#FFF176	#FFF176	0	2	2	70	NA	NA	NA	NA	None	0	NA	NA	NA	NA	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#F3E5F5	#BA68C8	#8E24AA	#4A148C	#E0F2F1	#000000	#00897B	#004D40	purple	lime	l_down	clr2	low	left	#4DB6AC	#B2DFDB	#4DB6AC	#00897B	#4DB6AC	0	3	3	6	NA	NA	NA	NA	None	0	NA	NA	NA	NA	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#0D47A1	#E3F2FD	#1E88E5	#64B5F6	#4A148C	#000000	#8E24AA	#BA68C8	blue	purple	l_rand2	clr2	high	left	#F3E5F5	#E1BEE7	#F3E5F5	#8E24AA	NA	NA	NA	NA	NA	0	0	0	41	NA	NA	NA	left	1	1.53692827901919	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#827717	#C0CA33	#DCE775	#F9FBE7	#004D40	#000000	#4DB6AC	#E0F2F1	lime	teal	l_up	clr2	high	right	#009688	#00897B	#00897B	#4DB6AC	NA	NA	NA	NA	NA	0	1	1	63	NA	NA	NA	right	1	2.63983723717159	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#004D40	#00897B	#4DB6AC	#E0F2F1	#3E2723	#000000	#A1887F	#EFEBE9	teal	brown	l_up	clr2	low	left	#6D4C41	#4E342E	#6D4C41	#A1887F	NA	NA	NA	NA	NA	0	2	2	67	NA	NA	NA	left	1	1.6694129886094	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#880E4F	#D81B60	#F06292	#FCE4EC	#B71C1C	#000000	#E57373	#FFEBEE	pink	red	l_up	clr2	low	right	#EF5350	#E53935	#E53935	#E57373	NA	NA	NA	NA	NA	0	3	3	68	NA	NA	NA	right	1	1.21997831308866	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#E0F7FA	#4DD0E1	#00ACC1	#006064	#EFEBE9	#A1887F	#000000	#3E2723	cyan	brown	l_down	clr3	low	right	#8D6E63	#6D4C41	#A1887F	#6D4C41	NA	NA	NA	NA	NA	0	4	4	18	NA	NA	NA	right	1	1.77318382204161	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#039BE5	#01579B	#E1F5FE	#4FC3F7	#D81B60	#000000	#FCE4EC	#F06292	l_blue	pink	l_rand1	clr2	none	left	#880E4F	#BF360C	#880E4F	#FCE4EC	NA	NA	NA	NA	NA	0	5	5	91	NA	NA	NA	left	1	2.10810460997163	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#00897B	#004D40	#E0F2F1	#4DB6AC	#3949AB	#1A237E	#000000	#7986CB	lime	indigo	l_rand1	clr3	low	left	#E8EAF6	#9FA8DA	#1A237E	#E8EAF6	NA	NA	NA	NA	NA	0	6	6	37	NA	NA	NA	left	1	2.99852904225583	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#006064	#00ACC1	#4DD0E1	#E0F7FA	#01579B	#039BE5	#000000	#E1F5FE	cyan	l_blue	l_up	clr3	high	right	#81D4FA	#4FC3F7	#039BE5	#4FC3F7	NA	NA	NA	NA	NA	0	7	7	72	NA	NA	NA	left	1	2.66944360112655	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#F57F17	#FDD835	#FFF176	#FFFDE7	#33691E	#7CB342	#000000	#F1F8E9	yellow	l_green	l_up	clr3	low	left	#AED581	#DCEDC8	#7CB342	#AED581	NA	NA	NA	NA	NA	0	8	8	75	NA	NA	NA	left	1	2.42980535063078	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#E3F2FD	#64B5F6	#1E88E5	#0D47A1	#E0F2F1	#4DB6AC	#000000	#004D40	blue	teal	l_down	clr3	none	right	#7CB342	#00897B	#4DB6AC	#00897B	NA	NA	NA	NA	NA	0	9	9	88	NA	NA	NA	right	1	1.64968892793054	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#33691E	#7CB342	#AED581	#F1F8E9	#880E4F	#000000	#F06292	#FCE4EC	l_green	pink	l_up	clr2	high	left	#D81B60	#E91E63	#D81B60	#F06292	NA	NA	NA	NA	NA	0	10	10	61	NA	NA	NA	left	1	2.70378265990759	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
